seed,hw,area,graph,method,makespan
0,0.3,0.3,squeezenet,clpso,9466.81381582347
0,0.3,0.3,squeezenet,esa,9466.81381582347
0,0.3,0.3,squeezenet,gl25,9466.81381582347
0,0.3,0.3,squeezenet,greedy,13959.615979754995
0,0.3,0.3,squeezenet,jade,9466.81381582347
0,0.3,0.3,squeezenet,random,9466.81381582347
0,0.3,0.3,squeezenet,shade,9466.81381582347
0,0.3,0.5,resnet,ccpso,18629.163527484412
0,0.3,0.5,resnet,clpso,18629.163527484412
0,0.3,0.5,resnet,esa,18629.163527484412
0,0.3,0.5,resnet,gl25,15809.543266884159
0,0.3,0.5,resnet,greedy,22973.891543908758
0,0.3,0.5,resnet,jade,18629.163527484412
0,0.3,0.5,resnet,random,18629.163527484412
0,0.3,0.5,resnet,shade,18629.163527484412
0,0.3,0.5,squeezenet,ccpso,9466.81381582347
0,0.3,0.5,squeezenet,clpso,9466.81381582347
0,0.3,0.5,squeezenet,esa,6437.7857616538195
0,0.3,0.5,squeezenet,gl25,6596.799945051427
0,0.3,0.5,squeezenet,greedy,13059.39123406971
0,0.3,0.5,squeezenet,jade,9466.81381582347
0,0.3,0.5,squeezenet,random,9466.81381582347
0,0.3,0.5,squeezenet,shade,9466.81381582347
0,0.3,0.7,resnet,ccpso,18629.163527484412
0,0.3,0.7,resnet,clpso,18629.163527484412
0,0.3,0.7,resnet,esa,18629.163527484412
0,0.3,0.7,resnet,gl25,9528.717219517159
0,0.3,0.7,resnet,greedy,16051.7906051954
0,0.3,0.7,resnet,jade,18629.163527484412
0,0.3,0.7,resnet,random,18629.163527484412
0,0.3,0.7,resnet,shade,18629.163527484412
0,0.3,0.7,squeezenet,ccpso,9466.81381582347
0,0.3,0.7,squeezenet,clpso,9466.81381582347
0,0.3,0.7,squeezenet,esa,9466.81381582347
0,0.3,0.7,squeezenet,gl25,4328.378171944335
0,0.3,0.7,squeezenet,greedy,10122.691679067997
0,0.3,0.7,squeezenet,jade,8026.863643687953
0,0.3,0.7,squeezenet,random,9466.81381582347
0,0.3,0.7,squeezenet,shade,9244.176250257824
0,0.3,0.9,resnet,ccpso,18629.163527484412
0,0.3,0.9,resnet,clpso,18629.163527484412
0,0.3,0.9,resnet,esa,18629.163527484412
0,0.3,0.9,resnet,gl25,9074.110583470512
0,0.3,0.9,resnet,greedy,7321.890290065795
0,0.3,0.9,resnet,jade,18629.163527484412
