graph_name,family,nodes,area_constraint,method,mean_makespan,median_makespan,min_makespan,max_makespan,p10_makespan,p90_makespan,mean_dag_makespan,num_runs,num_invalid_runs,num_repaired_runs,num_timeout_runs,num_failed_runs,mean_over_dag,validity_note_summary
anomaly_detection_tosa,tflite-graphs,68,0.5,ccpso,3247.8423262144443,3247.8423262144443,3247.8423262144443,3247.8423262144443,3247.8423262144443,3247.8423262144443,2584.715082250584,1,0,0,0,0,1.256557192132162,Valid solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,clpso,2989.3554984317198,2989.3554984317198,2989.3554984317198,2989.3554984317198,2989.3554984317198,2989.3554984317198,2611.042995043729,1,0,0,0,0,1.1448894193263388,Valid solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,dbpso,2444.551798288661,2444.551798288661,2444.551798288661,2444.551798288661,2444.551798288661,2444.551798288661,2002.582332994296,1,0,0,0,0,1.2206997724950088,Valid solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,diff_gnn_order,1668.444026154854,1698.5298322503718,1253.4873677443045,2135.239217033976,1276.5512456032916,2017.938256886249,1555.1912794988532,10,0,0,0,0,1.0728223904988046,Valid solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,esa,3234.6240926440373,3234.6240926440373,3234.6240926440373,3234.6240926440373,3234.6240926440373,3234.6240926440373,2598.1512359893386,1,0,0,0,0,1.2449714427083145,Valid solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,gl25,2152.462500703865,2152.462500703865,2152.462500703865,2152.462500703865,2152.462500703865,2152.462500703865,1579.0040624369665,1,0,0,0,0,1.363177303915132,Valid solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,greedy,3335.917412823374,3406.6907061368247,2249.994982076263,4018.625503272376,2757.8184926684694,3845.9782866225737,2405.3047468279005,10,0,0,0,0,1.386900107864818,Valid solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,jade,2529.64801481554,2529.64801481554,2529.64801481554,2529.64801481554,2529.64801481554,2529.64801481554,2337.522771369339,1,0,0,0,0,1.0821918168239502,Valid solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,mip,2462.927857408888,2456.456023812695,1549.497835834978,3285.659506385589,1790.5345563255241,3257.1728804150725,1613.0519241817233,10,0,0,0,0,1.526874504463515,Valid incumbent solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,pso,3470.1103309482764,3470.1103309482764,3470.1103309482764,3470.1103309482764,3470.1103309482764,3470.1103309482764,2727.102387063117,1,0,0,0,0,1.2724532629980654,Valid solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,random,3162.8495526258985,3144.14710464877,2926.664054759105,3656.778996304875,2966.855876604402,3314.53142974445,2881.30420671681,10,0,0,0,0,1.097714550672143,Valid solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,shade,2618.400894858456,2618.400894858456,2618.400894858456,2618.400894858456,2618.400894858456,2618.400894858456,2257.340690607807,1,0,0,0,0,1.159949362430281,Valid solution; no area repair needed.
