Graph,Nodes,Edges,M_DAG,M_static,M_learned,M_report
Small-11,11,12,32.0,31.0,29.0,29.0
SqueezeNet-TOSA,179,234,8526.69046991982,8704.044283927635,8876.88011257046,8704.044283927635
Synthetic-50,50,65,703.0261970536798,2074.647723439788,2284.299660786241,2074.647723439788
