Graph,Nodes,Edges,M_DAG,Random,Greedy,GCPS,PSO,DBPSO,CLPSO,CCPSO,ESA,SHADE,JADE,GL25,Diff-GNN,Diff-GNN-Order
Small-11,11,12,32.0,32.0,32.0,32.0,83.0,29.0,30.0,32.0,30.0,29.0,29.0,29.0,31.0,29.0
SqueezeNet-TOSA,179,234,8526.69046991982,11909.809680130327,8671.958553309745,10037.906139504928,8671.958553309745,11260.733148267012,10734.998032760952,12873.547988533526,11765.107329267776,12637.394084970412,12299.271711103342,11765.107329267776,9189.156170049324,8704.044283927635
Synthetic-50,50,65,703.0261970536798,3280.0187513465844,2257.3233267416927,2066.5777104145013,2257.3233267416927,2918.07992076887,2831.4815153178097,3158.6389304550253,2815.334883426718,2952.784454379451,3097.1391551372312,2815.334883426718,1490.1733157651188,2074.647723439788
