graph_name,nodes,area_constraint,method,mean_makespan,median_makespan,min_makespan,max_makespan,p10_makespan,p90_makespan,mean_runtime_sec,median_runtime_sec,min_runtime_sec,max_runtime_sec,p10_runtime_sec,p90_runtime_sec,num_runs
squeezenet_like_10,10,0.5,ccpso,507.50130926789325,507.50130926789325,504.0905500011361,510.9120685346504,504.77270185448754,510.22991668129896,0.01630485057830805,0.01630485057830805,0.016242504119873,0.0163671970367431,0.016254973411560007,0.016354727745056093,2
squeezenet_like_10,10,0.5,clpso,432.3896074984618,432.3896074984618,315.994782842726,548.7844321541976,339.2737477738732,525.5054672230505,0.0147730112075805,0.0147730112075805,0.0144312381744384,0.0151147842407226,0.014499592781066821,0.01504642963409418,2
squeezenet_like_10,10,0.5,dbpso,426.01777092409844,426.01777092409844,347.9449918470608,504.0905500011361,363.55954766246833,488.47599418572855,0.3990381956100464,0.3990381956100464,0.393428087234497,0.4046483039855957,0.3945501089096069,0.4035262823104858,2
squeezenet_like_10,10,0.5,diff_gnn_order,280.59769250745705,280.59769250745705,260.8724571212452,300.32292789366886,264.81750419848754,296.3778808164265,25.350497245788574,25.350497245788574,25.05827736854553,25.642717123031616,25.116721343994136,25.58427314758301,2
squeezenet_like_10,10,0.5,esa,422.4390115363004,422.4390115363004,347.9449918470608,496.9330312255401,362.8437957849087,482.0342272876922,0.1327438354492187,0.1327438354492187,0.1298549175262451,0.1356327533721923,0.13043270111083982,0.13505496978759757,2
squeezenet_like_10,10,0.5,gcps,614.66740689069,614.66740689069,598.2050316909081,631.1297820904718,601.4975067308644,627.8373070505155,0.4756091833114624,0.4756091833114624,0.3188862800598144,0.6323320865631104,0.350230860710144,0.6009875059127807,2
squeezenet_like_10,10,0.5,gl25,422.4390115363004,422.4390115363004,347.9449918470608,496.9330312255401,362.8437957849087,482.0342272876922,0.3999583721160888,0.3999583721160888,0.3901314735412597,0.4097852706909179,0.3920968532562255,0.4078198909759521,2
squeezenet_like_10,10,0.5,greedy,702.6063677274549,702.6063677274549,598.2050316909081,807.0077037640016,619.0852988982174,786.1274365566923,0.0013978481292724,0.0013978481292724,0.0013172626495361,0.0014784336090087,0.0013333797454833601,0.0014623165130614399,2
squeezenet_like_10,10,0.5,jade,426.01777092409844,426.01777092409844,347.9449918470608,504.0905500011361,363.55954766246833,488.47599418572855,0.4697810411453247,0.4697810411453247,0.4656217098236084,0.473940372467041,0.4664535760879517,0.47310850620269773,2
squeezenet_like_10,10,0.5,pso,426.01777092409844,426.01777092409844,347.9449918470608,504.0905500011361,363.55954766246833,488.47599418572855,0.3090705871582031,0.3090705871582031,0.2366731166839599,0.3814680576324463,0.25115261077880857,0.3669885635375977,2
squeezenet_like_10,10,0.5,random,555.2876245067416,555.2876245067416,505.71652782437286,604.8587211891103,515.6307471608466,594.9445018526366,0.05292737483978265,0.05292737483978265,0.0517230033874511,0.0541317462921142,0.051963877677917415,0.05389087200164789,2
squeezenet_like_10,10,0.5,shade,422.4390115363004,422.4390115363004,347.9449918470608,496.9330312255401,362.8437957849087,482.0342272876922,0.49776017665863037,0.49776017665863037,0.4953427314758301,0.5001776218414307,0.4958262205123901,0.4996941328048706,2
squeezenet_like_15,15,0.5,ccpso,843.6150856479862,843.6150856479862,568.6771866696014,1118.552984626371,623.6647664652784,1063.565404830694,0.020466327667236252,0.020466327667236252,0.0198767185211181,0.0210559368133544,0.019994640350341732,0.020938014984130768,2
squeezenet_like_15,15,0.5,clpso,1029.8821384149464,1029.8821384149464,716.8223911745554,1342.9418856553375,779.4343406226336,1280.3299362072594,0.02026879787445065,0.02026879787445065,0.019784927368164,0.0207526683807373,0.01988170146942133,0.02065589427947997,2
squeezenet_like_15,15,0.5,dbpso,444.62748885327744,444.62748885327744,355.6795654378857,533.5754122686692,373.46915012096406,515.7858275855908,0.38810431957244873,0.38810431957244873,0.3150591850280761,0.4611494541168213,0.3296682119369506,0.4465404272079468,2
squeezenet_like_15,15,0.5,diff_gnn_order,452.1033085374378,452.1033085374378,355.6795654378857,548.5270516369899,374.9643140577961,529.2423030170795,30.604683876037598,30.604683876037598,30.417945861816406,30.79142189025879,30.455293464660645,30.75407428741455,2
