graph_name,seed,area_constraint,hw_scale_factor,hw_scale_variance,comm_scale_factor,method,reported_makespan,runtime_sec,key,nodes,edges
squeezenet_like_15,43,0.5,0.1,0.5,1.0,gcps,618.0746765479754,0.3314356803894043,"('squeezenet_like_15', 43, 0.5, 0.1, 0.5, 1.0)",15,20
squeezenet_like_15,42,0.5,0.1,0.5,1.0,gl25,533.5754122686692,0.4525363445281982,"('squeezenet_like_15', 42, 0.5, 0.1, 0.5, 1.0)",15,20
squeezenet_like_15,43,0.5,0.1,0.5,1.0,gl25,900.2556579831038,0.4372475147247314,"('squeezenet_like_15', 43, 0.5, 0.1, 0.5, 1.0)",15,20
squeezenet_like_15,42,0.5,0.1,0.5,1.0,greedy,1039.1795724050305,0.003852367401123,"('squeezenet_like_15', 42, 0.5, 0.1, 0.5, 1.0)",15,20
squeezenet_like_15,43,0.5,0.1,0.5,1.0,greedy,1476.369473131017,0.0017704963684082,"('squeezenet_like_15', 43, 0.5, 0.1, 0.5, 1.0)",15,20
squeezenet_like_15,42,0.5,0.1,0.5,1.0,jade,692.7158873051558,0.5403847694396973,"('squeezenet_like_15', 42, 0.5, 0.1, 0.5, 1.0)",15,20
squeezenet_like_15,43,0.5,0.1,0.5,1.0,jade,756.4545122006601,0.5129375457763672,"('squeezenet_like_15', 43, 0.5, 0.1, 0.5, 1.0)",15,20
squeezenet_like_15,42,0.5,0.1,0.5,1.0,pso,663.5301600001734,0.2933812141418457,"('squeezenet_like_15', 42, 0.5, 0.1, 0.5, 1.0)",15,20
squeezenet_like_15,43,0.5,0.1,0.5,1.0,pso,818.3407308214286,0.2799818515777588,"('squeezenet_like_15', 43, 0.5, 0.1, 0.5, 1.0)",15,20
squeezenet_like_15,42,0.5,0.1,0.5,1.0,random,980.603070749284,0.0735375881195068,"('squeezenet_like_15', 42, 0.5, 0.1, 0.5, 1.0)",15,20
squeezenet_like_15,43,0.5,0.1,0.5,1.0,random,682.7702159151049,0.0679502487182617,"('squeezenet_like_15', 43, 0.5, 0.1, 0.5, 1.0)",15,20
squeezenet_like_15,42,0.5,0.1,0.5,1.0,shade,709.4428208408589,0.549694299697876,"('squeezenet_like_15', 42, 0.5, 0.1, 0.5, 1.0)",15,20
squeezenet_like_15,43,0.5,0.1,0.5,1.0,shade,793.1972826659475,0.5417001247406006,"('squeezenet_like_15', 43, 0.5, 0.1, 0.5, 1.0)",15,20
