graph_name,family,nodes,area_constraint,method,mean_makespan,median_makespan,min_makespan,max_makespan,p10_makespan,p90_makespan,mean_dag_makespan,num_runs,num_invalid_runs,num_repaired_runs,num_timeout_runs,num_failed_runs,mean_over_dag,validity_note_summary
visual_wake_words_tosa,tflite-graphs,211,0.5,ccpso,10582.408067869763,10473.668719089683,9980.182426028168,11503.053161268284,10086.847365892972,11055.215574638742,10582.408067869763,10,0,0,0,0,1.0,Valid solution; no area repair needed.
visual_wake_words_tosa,tflite-graphs,211,0.5,clpso,10582.408067869763,10473.668719089683,9980.182426028168,11503.053161268284,10086.847365892972,11055.215574638742,10582.408067869763,10,0,0,0,0,1.0,Valid solution; no area repair needed.
visual_wake_words_tosa,tflite-graphs,211,0.5,dbpso,10582.408067869763,10473.668719089683,9980.182426028168,11503.053161268284,10086.847365892972,11055.215574638742,10582.408067869763,10,0,0,0,0,1.0,Valid solution; no area repair needed.
visual_wake_words_tosa,tflite-graphs,211,0.5,esa,10582.408067869763,10473.668719089683,9980.182426028168,11503.053161268284,10086.847365892972,11055.215574638742,10582.408067869763,10,0,0,0,0,1.0,Valid solution; no area repair needed.
visual_wake_words_tosa,tflite-graphs,211,0.5,gcps,11617.11609754492,11474.252270486035,10740.376994316985,13059.995891770925,11034.583930050585,12094.574776085175,8940.534358637862,10,0,0,0,0,1.2993760363239462,Valid solution; no area repair needed.
visual_wake_words_tosa,tflite-graphs,211,0.5,gl25,8030.970849467824,8154.608228380479,7351.026947268531,8634.358677332088,7388.300205656068,8578.746951311732,7217.109599031748,10,0,0,0,0,1.1127683097046586,Valid solution; no area repair needed.
visual_wake_words_tosa,tflite-graphs,211,0.5,greedy,12367.917748486598,12564.663192738519,10905.693946964711,13897.520014588292,10947.059891327546,13795.173959723104,8368.2147391794,10,0,0,0,0,1.477963715555824,Valid solution; no area repair needed.
visual_wake_words_tosa,tflite-graphs,211,0.5,jade,10582.408067869763,10473.668719089683,9980.182426028168,11503.053161268284,10086.847365892972,11055.215574638742,10582.408067869763,10,0,0,0,0,1.0,Valid solution; no area repair needed.
visual_wake_words_tosa,tflite-graphs,211,0.5,mip,5662.415131167977,5601.165363747219,4701.921728979117,6941.632965915443,5116.241966132904,6132.272305675678,10582.408067869763,10,0,0,0,0,0.5350781310692567,Valid incumbent solution; no area repair needed.
visual_wake_words_tosa,tflite-graphs,211,0.5,pso,10508.678277952615,10473.668719089683,9980.182426028168,11288.65904418548,10086.847365892972,10862.956380334002,10475.636771147321,10,0,0,0,0,1.0031541287204897,Valid solution; no area repair needed.
visual_wake_words_tosa,tflite-graphs,211,0.5,random,10582.408067869763,10473.668719089683,9980.182426028168,11503.053161268284,10086.847365892972,11055.215574638742,10582.408067869763,10,0,0,0,0,1.0,Valid solution; no area repair needed.
visual_wake_words_tosa,tflite-graphs,211,0.5,shade,10582.408067869763,10473.668719089683,9980.182426028168,11503.053161268284,10086.847365892972,11055.215574638742,10582.408067869763,10,0,0,0,0,1.0,Valid solution; no area repair needed.
