graph_name,area_constraint,method,mean_makespan,median_makespan,min_makespan,max_makespan,p10_makespan,p90_makespan,mean_dag_makespan,num_runs,num_invalid_runs,num_repaired_runs,num_timeout_runs,num_failed_runs,mean_over_dag,validity_note_summary
squeeze_net_tosa,0.1,ccpso,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,8958.478138585584,10,0,0,0,0,0.9999999999999998,Valid solution; no area repair needed.
squeeze_net_tosa,0.1,clpso,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,8958.478138585584,10,0,0,0,0,0.9999999999999998,Valid solution; no area repair needed.
squeeze_net_tosa,0.1,dbpso,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,8958.478138585584,10,0,0,0,0,0.9999999999999998,Valid solution; no area repair needed.
squeeze_net_tosa,0.1,diff_gnn_order,7570.227397833412,7471.217124744608,7111.825677258383,8555.745740559516,7130.105976915447,8059.471064539403,7376.767737831304,10,0,0,0,0,1.0262255322219191,Valid solution; no area repair needed.
squeeze_net_tosa,0.1,esa,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,8958.478138585584,10,0,0,0,0,0.9999999999999998,Valid solution; no area repair needed.
squeeze_net_tosa,0.1,gcps,9237.89543257874,9272.859706422081,8543.037518026596,10195.865797916496,8618.005065980942,9797.199790485529,8958.478138585584,10,0,0,0,0,1.0311902635325594,Valid solution; no area repair needed.
squeeze_net_tosa,0.1,gl25,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,8958.478138585584,10,0,0,0,0,0.9999999999999998,Valid solution; no area repair needed.
squeeze_net_tosa,0.1,greedy,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,8958.478138585584,10,0,0,0,0,0.9999999999999998,Valid solution; no area repair needed.
squeeze_net_tosa,0.1,jade,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,8958.478138585584,10,0,0,0,0,0.9999999999999998,Valid solution; no area repair needed.
squeeze_net_tosa,0.1,mip,7871.200266257382,7740.852327116287,7496.140384001881,8417.808541377626,7543.330348583638,8286.882017726586,7376.767737831304,10,0,8,0,0,1.0670256331767654,Incumbent solution was invalid before post-processing; repaired with benefit_per_area greedy fixing to satisfy the area constraint. | Valid incumbent solution; no area repair needed.
squeeze_net_tosa,0.1,pso,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,8958.478138585584,10,0,0,0,0,0.9999999999999998,Valid solution; no area repair needed.
squeeze_net_tosa,0.1,random,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,8958.478138585584,10,0,0,0,0,0.9999999999999998,Valid solution; no area repair needed.
squeeze_net_tosa,0.1,shade,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,8958.478138585584,10,0,0,0,0,0.9999999999999998,Valid solution; no area repair needed.
squeeze_net_tosa,0.3,ccpso,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,8958.478138585584,10,0,0,0,0,0.9999999999999998,Valid solution; no area repair needed.
squeeze_net_tosa,0.3,clpso,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,8958.478138585584,10,0,0,0,0,0.9999999999999998,Valid solution; no area repair needed.
squeeze_net_tosa,0.3,dbpso,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,8958.478138585584,10,0,0,0,0,0.9999999999999998,Valid solution; no area repair needed.
squeeze_net_tosa,0.3,diff_gnn_order,6802.5801732260825,6595.473487503044,5739.291945127393,8295.080294967293,6187.960040019651,7605.7840337423095,5834.02556160237,10,0,0,0,0,1.1660182324188668,Valid solution; no area repair needed.
squeeze_net_tosa,0.3,esa,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,8958.478138585584,10,0,0,0,0,0.9999999999999998,Valid solution; no area repair needed.
squeeze_net_tosa,0.3,gcps,10697.711572001164,10981.542035569435,8532.057671109735,12357.5850999102,9143.639895439646,11530.409265395238,8958.478138585584,10,0,0,0,0,1.1941438497153245,Valid solution; no area repair needed.
squeeze_net_tosa,0.3,gl25,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,8958.478138585584,10,0,0,0,0,0.9999999999999998,Valid solution; no area repair needed.
squeeze_net_tosa,0.3,greedy,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,8958.478138585584,10,0,0,0,0,0.9999999999999998,Valid solution; no area repair needed.
squeeze_net_tosa,0.3,jade,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,8958.478138585584,10,0,0,0,0,0.9999999999999998,Valid solution; no area repair needed.
squeeze_net_tosa,0.3,mip,6154.381323609015,6102.113644905078,5632.233173195642,6871.436288406534,5632.412650785046,6629.977583516857,5834.02556160237,10,0,9,0,0,1.054911614394548,Incumbent solution was invalid before post-processing; repaired with benefit_per_area greedy fixing to satisfy the area constraint. | Valid incumbent solution; no area repair needed.
squeeze_net_tosa,0.3,pso,8824.014593916143,8694.148529246304,8532.057671109735,9579.225924505963,8541.939533334911,9356.475892885388,8958.478138585584,10,0,0,0,0,0.9849903585643319,Valid solution; no area repair needed.
squeeze_net_tosa,0.3,random,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,8958.478138585584,10,0,0,0,0,0.9999999999999998,Valid solution; no area repair needed.
squeeze_net_tosa,0.3,shade,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,8958.478138585584,10,0,0,0,0,0.9999999999999998,Valid solution; no area repair needed.
squeeze_net_tosa,0.7,ccpso,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,4693.258074465847,10,0,0,0,0,1.9087972569258662,Valid solution; no area repair needed.
squeeze_net_tosa,0.7,clpso,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,4693.258074465847,10,0,0,0,0,1.9087972569258662,Valid solution; no area repair needed.
squeeze_net_tosa,0.7,dbpso,8803.063341037163,8649.146673420584,8446.90567942483,9594.366733701592,8453.833354977118,9360.150016601232,4693.258074465847,10,0,0,0,0,1.8756827775849647,Valid solution; no area repair needed.
squeeze_net_tosa,0.7,diff_gnn_order,3401.242022820758,3420.8032551180045,2870.942799002468,4222.290387059481,2875.7343474525424,3885.1836849863566,2933.775918363744,10,0,0,0,0,1.1593394033712479,Valid solution; no area repair needed.
squeeze_net_tosa,0.7,esa,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,4693.258074465847,10,0,0,0,0,1.9087972569258662,Valid solution; no area repair needed.
squeeze_net_tosa,0.7,gcps,6948.200691097443,7031.204514387109,4913.626605740778,8501.786226199016,5485.558211988517,8165.881109102701,4693.258074465847,10,0,0,0,0,1.480464227803675,Valid solution; no area repair needed.
squeeze_net_tosa,0.7,gl25,5779.127268502718,5627.114266464931,4583.7844861676285,6904.826582806301,5105.542526376097,6702.083022090418,4693.258074465847,10,0,0,0,0,1.2313678849123286,Valid solution; no area repair needed.
squeeze_net_tosa,0.7,greedy,8530.616557739344,8501.082838922257,7241.482776134109,9334.125936923414,8095.772031220464,9223.846722021015,4693.258074465847,10,0,0,0,0,1.8176321059672895,Valid solution; no area repair needed.
squeeze_net_tosa,0.7,jade,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,4693.258074465847,10,0,0,0,0,1.9087972569258662,Valid solution; no area repair needed.
squeeze_net_tosa,0.7,mip,2502.4107266933506,2438.03302915509,1938.074396016813,3332.9486935739405,2145.184015961159,2900.4605772804166,2933.775918363744,10,0,8,0,0,0.8529658693527695,Incumbent solution was invalid before post-processing; repaired with benefit_per_area greedy fixing to satisfy the area constraint. | Valid incumbent solution; no area repair needed.
squeeze_net_tosa,0.7,pso,8609.734930654055,8570.318839226915,8127.867716563578,9197.563482163809,8336.625094292567,8963.975093109571,4693.258074465847,10,0,0,0,0,1.8344899841532691,Valid solution; no area repair needed.
squeeze_net_tosa,0.7,random,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,4693.258074465847,10,0,0,0,0,1.9087972569258662,Valid solution; no area repair needed.
squeeze_net_tosa,0.7,shade,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,4693.258074465847,10,0,0,0,0,1.9087972569258662,Valid solution; no area repair needed.
squeeze_net_tosa,0.9,ccpso,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,4745.520532103042,10,0,0,0,0,1.887775656639191,Valid solution; no area repair needed.
squeeze_net_tosa,0.9,clpso,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,4745.520532103042,10,0,0,0,0,1.887775656639191,Valid solution; no area repair needed.
squeeze_net_tosa,0.9,dbpso,8472.32274908425,8540.117458992596,7123.318459775225,9594.366733701592,7307.010123534075,9360.150016601232,4745.520532103042,10,0,0,0,0,1.7853305431447843,Valid solution; no area repair needed.
squeeze_net_tosa,0.9,diff_gnn_order,1125.4171691004108,1095.4422285326514,637.480688064664,1495.6351011808642,829.7114385076401,1452.7113684173548,1053.5185411275893,10,0,0,0,0,1.068246191373023,Valid solution; no area repair needed.
squeeze_net_tosa,0.9,esa,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,4745.520532103042,10,0,0,0,0,1.887775656639191,Valid solution; no area repair needed.
squeeze_net_tosa,0.9,gcps,2225.237710787538,2192.8351516740718,1536.004459068219,2937.918053953074,1649.224681390805,2779.534094672692,4745.520532103042,10,0,0,0,0,0.4689133037638326,Valid solution; no area repair needed.
squeeze_net_tosa,0.9,gl25,5800.31162979272,5645.169154049459,4583.7844861676285,6904.826582806301,5217.009470516367,6702.083022090418,4745.520532103042,10,0,0,0,0,1.2222708953747237,Valid solution; no area repair needed.
squeeze_net_tosa,0.9,greedy,3443.6376947447607,3421.820612320591,2271.7612565844665,4811.461854141405,2775.230818571965,4623.356859654161,4745.520532103042,10,0,0,0,0,0.7256606881055188,Valid solution; no area repair needed.
squeeze_net_tosa,0.9,jade,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,4745.520532103042,10,0,0,0,0,1.887775656639191,Valid solution; no area repair needed.
squeeze_net_tosa,0.9,mip,584.2090205457353,560.9116963605816,493.3520489303316,709.1006918251616,497.19517009723404,684.4931419202819,1053.5185411275893,10,0,3,0,0,0.5545313136306569,Incumbent solution was invalid before post-processing; repaired with benefit_per_area greedy fixing to satisfy the area constraint. | Invalid before post-processing; repaired with benefit_per_area greedy fixing to satisfy the area constraint. | Valid solution; no area repair needed.
squeeze_net_tosa,0.9,pso,3231.118506830111,3275.139372536626,2662.3002494441785,3713.697840932509,2856.5122906044376,3553.4791178970117,4745.520532103042,10,0,0,0,0,0.680877573908251,Valid solution; no area repair needed.
squeeze_net_tosa,0.9,random,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,4745.520532103042,10,0,0,0,0,1.887775656639191,Valid solution; no area repair needed.
squeeze_net_tosa,0.9,shade,8958.478138585582,8848.67702409186,8532.057671109735,10010.557015369945,8541.939533334911,9401.769044768067,4745.520532103042,10,0,0,0,0,1.887775656639191,Valid solution; no area repair needed.
