graph_name,family,nodes,area_constraint,method,mean_makespan,median_makespan,min_makespan,max_makespan,p10_makespan,p90_makespan,mean_dag_makespan,num_runs,num_invalid_runs,num_repaired_runs,mean_over_dag,validity_note_summary
squeeze_net_tosa,pytorch-graphs,179,0.5,ccpso,12005.249219079835,11981.356318801247,10837.741992095203,12735.733803300118,11552.539804610575,12632.152876408309,7964.383418730128,10,0,0,1.5073670600597475,Valid solution; no area repair needed.
squeeze_net_tosa,pytorch-graphs,179,0.5,clpso,11939.842122522288,11910.773706185806,10679.821202951702,13302.937542382955,10912.179884798466,12837.300361421305,7782.598158521965,10,0,0,1.5341717353668236,Valid solution; no area repair needed.
squeeze_net_tosa,pytorch-graphs,179,0.5,dbpso,11865.538510512188,11711.394867348516,10728.754263687695,13450.85517106581,11264.017721995719,12760.12776885974,7678.013844110397,10,0,0,1.5453916535477377,Valid solution; no area repair needed.
squeeze_net_tosa,pytorch-graphs,179,0.5,diff_gnn_order,9949.005836061893,9640.60011007762,9217.656388355872,11146.44143164182,9281.579534292021,11044.725214902355,5974.884936990228,10,0,0,1.6651376454913922,Valid solution; no area repair needed.
squeeze_net_tosa,pytorch-graphs,179,0.5,esa,11809.747377819724,11884.393874900134,8543.037518026596,13273.514004936464,10861.527201520297,13089.667755876417,8022.042674227881,10,0,0,1.4721621234651943,Valid solution; no area repair needed.
squeeze_net_tosa,pytorch-graphs,179,0.5,gcps,9882.349427888726,9953.506226093947,8470.770585115486,11161.588220256695,8909.063194644,10911.231665531377,7628.876708439971,10,0,0,1.2953872248263885,Valid solution; no area repair needed.
squeeze_net_tosa,pytorch-graphs,179,0.5,gl25,8732.881353965462,8854.942278770493,7688.771447704555,9388.29695762832,8131.138190656914,9295.798551079386,5075.302840921411,10,0,0,1.7206621215887927,Valid solution; no area repair needed.
squeeze_net_tosa,pytorch-graphs,179,0.5,greedy,11534.323590918793,11339.718278351556,10327.712265027534,13006.392279007683,10577.043473759324,12986.3621697862,6525.830145143948,10,0,0,1.767487558575487,Valid solution; no area repair needed.
squeeze_net_tosa,pytorch-graphs,179,0.5,jade,11410.279122734148,11230.9980388584,10287.777406400026,12438.027767497932,10507.479733014527,12277.139169546,7288.665174669458,10,0,0,1.5654826843176544,Valid solution; no area repair needed.
squeeze_net_tosa,pytorch-graphs,179,0.5,mip,11153.954254655502,11090.523853620774,10327.712265027534,12135.732416554749,10601.441255345773,11762.946648833378,5736.266229173087,5,0,5,1.9444624445653396,Invalid before post-processing; repaired with benefit_per_area greedy fixing to satisfy the area constraint.
squeeze_net_tosa,pytorch-graphs,179,0.5,pso,10991.421598298426,11303.29144245049,8431.018207176621,13247.768646453567,8539.758575429063,12666.574215592038,8146.926322180954,10,0,0,1.3491495029693594,Valid solution; no area repair needed.
squeeze_net_tosa,pytorch-graphs,179,0.5,random,11740.710591826723,11588.972612863918,10888.084200571078,12684.15185874426,11269.04840523154,12267.78997780032,7648.634227417596,10,0,0,1.5350074592063128,Valid solution; no area repair needed.
squeeze_net_tosa,pytorch-graphs,179,0.5,shade,11301.408892689124,11305.950597029725,10287.777406400026,12364.345219709072,10507.479733014527,12276.691988370923,7265.052526820104,10,0,0,1.5555852970048276,Valid solution; no area repair needed.
