graph_name,family,nodes,area_constraint,method,mean_optimization_time_sec,mean_postprocess_time_sec,mean_total_runtime_sec,median_total_runtime_sec,std_total_runtime_sec,num_runs
squeeze_net_tosa,pytorch-graphs,179,0.5,ccpso,5.117835555225611,0.0085980631411075,5.126433618366718,5.126433618366718,,1
squeeze_net_tosa,pytorch-graphs,179,0.5,clpso,5.114944051019847,0.0085612232796847,5.123505274299532,5.123505274299532,,1
squeeze_net_tosa,pytorch-graphs,179,0.5,dbpso,123.27929581375793,0.0085290637798607,123.2878248775378,123.2878248775378,,1
squeeze_net_tosa,pytorch-graphs,179,0.5,diff_gnn_order,99.251311190892,109.99973454326393,209.25104573415592,209.25104573415592,,1
squeeze_net_tosa,pytorch-graphs,179,0.5,esa,25.40774842631072,0.0086262999102473,25.416374726220965,25.416374726220965,,1
squeeze_net_tosa,pytorch-graphs,179,0.5,gcps,1.6552810771390796,0.0074725258164107,1.6627536029554904,1.6627536029554904,,1
squeeze_net_tosa,pytorch-graphs,179,0.5,gl25,48.52427584026009,0.0085268723778426,48.53280271263793,48.53280271263793,,1
squeeze_net_tosa,pytorch-graphs,179,0.5,greedy,0.0244327541440725,0.0080536832101643,0.0324864373542368,0.0324864373542368,,1
squeeze_net_tosa,pytorch-graphs,179,0.5,jade,51.02089730743319,0.0085374568589031,51.02943476429209,51.02943476429209,,1
squeeze_net_tosa,pytorch-graphs,179,0.5,pso,108.63028324209154,0.0083478270098567,108.6386310691014,108.6386310691014,,1
squeeze_net_tosa,pytorch-graphs,179,0.5,random,12.823476932942867,0.0084689082577824,12.83194584120065,12.83194584120065,,1
squeeze_net_tosa,pytorch-graphs,179,0.5,shade,50.521558488719165,0.0085788057185709,50.530137294437736,50.530137294437736,,1
