graph_name,graph_file,source_config,phase,event,stage,candidate_label,candidate_mode,epoch,global_step,operation_index,iteration,accepted,training_end,soft_seq_makespan,threshold_lssp_static,threshold_lssp_learned_swprio,postprocess_lssp_cost,delta_from_prev,threshold_partition_valid,threshold_hw_nodes,threshold_hw_area,threshold_budget,tau,order_tau,loss,area_frac,area_penalty,selection_metric_train,selection_metric_final,notes
squeeze_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,/qfs/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/Ablation/diff_gnn_order_lssp_trace/squeeze_net_tosa/seed-42/run-20260412-143138/config/squeeze_net_tosa_seed-42_ablation.yaml,train,epoch,train,thresholded_partition,threshold,11,11.0,0,11,False,False,5574.8525390625,10624.209396533277,10952.454313241322,nan,nan,True,96,4695.449516137234,4831.909135635894,0.99505,0.9956,5579188.0,0.4980357587337494,nan,queue,queue,per_epoch_trace
squeeze_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,/qfs/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/Ablation/diff_gnn_order_lssp_trace/squeeze_net_tosa/seed-42/run-20260412-143138/config/squeeze_net_tosa_seed-42_ablation.yaml,train,epoch,train,thresholded_partition,threshold,12,12.0,0,12,False,False,5567.373046875,12214.859925664332,13110.766891152834,nan,nan,False,101,5415.54515255936,4831.909135635894,0.9946,0.9952,5577183.5,0.496942400932312,nan,queue,queue,per_epoch_trace
squeeze_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,/qfs/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/Ablation/diff_gnn_order_lssp_trace/squeeze_net_tosa/seed-42/run-20260412-143138/config/squeeze_net_tosa_seed-42_ablation.yaml,train,epoch,train,thresholded_partition,threshold,13,13.0,0,13,False,False,5374.37646484375,12362.692793587326,13371.470038883965,nan,nan,False,100,5152.368654252161,4831.909135635894,0.99415,0.9948,5382311.0,0.49726390838623047,nan,queue,queue,per_epoch_trace
squeeze_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,/qfs/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/Ablation/diff_gnn_order_lssp_trace/squeeze_net_tosa/seed-42/run-20260412-143138/config/squeeze_net_tosa_seed-42_ablation.yaml,train,epoch,train,thresholded_partition,threshold,14,14.0,0,14,False,False,5388.15185546875,10281.438345893339,11609.598614958264,nan,nan,True,91,4665.324423346643,4831.909135635894,0.9937,0.9944,5395116.5,0.49744728207588196,nan,queue,queue,per_epoch_trace
squeeze_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,/qfs/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/Ablation/diff_gnn_order_lssp_trace/squeeze_net_tosa/seed-42/run-20260412-143138/config/squeeze_net_tosa_seed-42_ablation.yaml,train,epoch,train,thresholded_partition,threshold,15,15.0,0,15,False,False,5516.42431640625,11923.292234358141,12788.119093790854,nan,nan,False,102,5635.458980783944,4831.909135635894,0.99325,0.994,5516940.0,0.5002512335777283,nan,queue,queue,per_epoch_trace
squeeze_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,/qfs/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/Ablation/diff_gnn_order_lssp_trace/squeeze_net_tosa/seed-42/run-20260412-143138/config/squeeze_net_tosa_seed-42_ablation.yaml,train,epoch,train,thresholded_partition,threshold,16,16.0,0,16,False,False,5391.2548828125,13158.1084638272,14024.561859179534,nan,nan,False,97,5140.964495350065,4831.909135635894,0.9928,0.9936,5392908.0,0.4989047646522522,nan,queue,queue,per_epoch_trace
squeeze_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,/qfs/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/Ablation/diff_gnn_order_lssp_trace/squeeze_net_tosa/seed-42/run-20260412-143138/config/squeeze_net_tosa_seed-42_ablation.yaml,train,epoch,train,thresholded_partition,threshold,17,17.0,0,17,False,False,5355.2744140625,10505.315203547654,10507.839231359221,nan,nan,False,98,5503.181570259773,4831.909135635894,0.99235,0.9932,5355755.5,0.49979788064956665,nan,queue,queue,per_epoch_trace
squeeze_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,/qfs/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/Ablation/diff_gnn_order_lssp_trace/squeeze_net_tosa/seed-42/run-20260412-143138/config/squeeze_net_tosa_seed-42_ablation.yaml,train,epoch,train,thresholded_partition,threshold,18,18.0,0,18,False,False,5286.75439453125,11748.711789068755,12546.392858333907,nan,nan,False,90,4895.54448859605,4831.909135635894,0.9919,0.9928,5287540.5,0.49940937757492065,nan,queue,queue,per_epoch_trace
squeeze_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,/qfs/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/Ablation/diff_gnn_order_lssp_trace/squeeze_net_tosa/seed-42/run-20260412-143138/config/squeeze_net_tosa_seed-42_ablation.yaml,train,epoch,train,thresholded_partition,threshold,19,19.0,0,19,False,False,5322.77783203125,12657.296998553342,13813.65767753393,nan,nan,True,89,4753.599031053115,4831.909135635894,0.99145,0.9924,5326172.5,0.49828267097473145,nan,queue,queue,per_epoch_trace
squeeze_net_tosa,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,/qfs/people/dass304/dass304/HWSWpartition/hw-sw-partition-metaheur/BatchExperiments/Ablation/diff_gnn_order_lssp_trace/squeeze_net_tosa/seed-42/run-20260412-143138/config/squeeze_net_tosa_seed-42_ablation.yaml,train,epoch,train,thresholded_partition,threshold,20,20.0,0,20,False,False,5283.53466796875,12850.003101727814,13578.00825667112,nan,nan,False,90,4848.608352159639,4831.909135635894,0.991,0.992,5286488.0,0.4984130561351776,nan,queue,queue,per_epoch_trace
