Config,diff_gnn_opt_cost,diff_gnn_makespan,diff_gnn_order_makespan,diff_gnn_time_s,diff_gnn_order_time_s,target_mip_legacy_lp,target_mip_queue,diff_gnn_lp_gap_abs,diff_gnn_queue_gap_abs,diff_gnn_order_queue_gap_abs,composite_gap
config_fig3_sweep_v02_noreg,26.000000024926656,35.0,37.0,10.280394554138184,18.794837713241577,26.0,29.0,2.492665629461044e-08,6.0,8.0,6.000000024926656
config_fig3_sweep_v01_base,26.00000003231284,35.0,36.0,15.190143585205078,26.892377853393555,26.0,29.0,3.231284040339233e-08,6.0,7.0,6.00000003231284
config_fig3_sweep_v08_order_strong,26.00000003231284,35.0,36.0,17.064829111099243,64.39629006385803,26.0,29.0,3.231284040339233e-08,6.0,7.0,6.00000003231284
config_fig3_sweep_v04_minimal,26.00000004403167,39.0,35.0,13.751294136047363,26.80668592453003,26.0,29.0,4.403166897759547e-08,10.0,6.0,10.000000044031669
config_fig3_sweep_v05_modern,32.000000010079546,36.0,36.0,14.810607194900513,27.82299757003784,26.0,29.0,6.000000010079546,7.0,7.0,13.000000010079546
config_fig3_sweep_v07_dls_hybrid,32.000000010079546,36.0,36.0,28.659347534179688,38.900349855422974,26.0,29.0,6.000000010079546,7.0,7.0,13.000000010079546
config_fig3_sweep_v06_long,32.000000010079546,36.0,36.0,37.39767909049988,69.71835160255432,26.0,29.0,6.000000010079546,7.0,7.0,13.000000010079546
config_fig3_sweep_v03_noreg_queue_final,35.0,35.0,37.0,9.669186353683472,17.807374954223633,26.0,29.0,9.0,6.0,8.0,15.0
