area_constraint,method,mean_reported_makespan,mean_reported_over_dag,num_runs,area_group
0.1,greedy,8671.958553309743,1.0,1,0.1
0.1,random,8671.958553309743,1.0,1,0.1
0.3,greedy,8671.958553309743,1.0,1,0.3
0.3,random,8671.958553309743,1.0,1,0.3
0.5,greedy,8671.958553309743,1.093392468731162,1,0.5
0.5,random,12340.114944775098,1.5558871344864034,1,0.5
0.7,greedy,8671.958553309743,1.1511698653236455,1,0.7
0.7,random,11747.172171622142,1.5593929011086827,1,0.7
