graph_name,family,nodes,area_constraint,method,mean_makespan,median_makespan,min_makespan,max_makespan,p10_makespan,p90_makespan,mean_dag_makespan,num_runs,num_invalid_runs,num_repaired_runs,mean_over_dag,validity_note_summary
keyword_spotting_tosa,tflite-graphs,123,0.5,ccpso,6205.823251196502,6096.322261099484,5748.769813391614,7130.084237263359,5859.494191119699,6564.416063609536,6205.823251196502,10,0,0,1.0,Valid solution; no area repair needed.
keyword_spotting_tosa,tflite-graphs,123,0.5,clpso,6205.823251196502,6096.322261099484,5748.769813391614,7130.084237263359,5859.494191119699,6564.416063609536,6205.823251196502,10,0,0,1.0,Valid solution; no area repair needed.
keyword_spotting_tosa,tflite-graphs,123,0.5,dbpso,6205.823251196502,6096.322261099484,5748.769813391614,7130.084237263359,5859.494191119699,6564.416063609536,6205.823251196502,10,0,0,1.0,Valid solution; no area repair needed.
keyword_spotting_tosa,tflite-graphs,123,0.5,diff_gnn_order,6248.241769897644,6248.241769897644,6248.241769897644,6248.241769897644,6248.241769897644,6248.241769897644,4523.93464081876,1,0,0,1.3811520868406737,Valid solution; no area repair needed.
keyword_spotting_tosa,tflite-graphs,123,0.5,esa,6205.823251196502,6096.322261099484,5748.769813391614,7130.084237263359,5859.494191119699,6564.416063609536,6205.823251196502,10,0,0,1.0,Valid solution; no area repair needed.
keyword_spotting_tosa,tflite-graphs,123,0.5,gcps,6681.33968232078,6552.449798638103,5918.491699120192,7691.945451718217,6072.51375086624,7491.420568829384,5068.884820991556,10,0,0,1.3181084041704072,Valid solution; no area repair needed.
keyword_spotting_tosa,tflite-graphs,123,0.5,gl25,4063.251049475046,4061.751695148848,3191.08735219086,4848.952619931745,3432.985735958541,4764.336986689912,3697.934017548889,10,0,0,1.0987894944021475,Valid solution; no area repair needed.
keyword_spotting_tosa,tflite-graphs,123,0.5,greedy,7209.400282558798,7172.527961330346,6408.474346070463,8289.32467492854,6665.17970176745,7752.800343784202,4650.530967958221,10,0,0,1.5502316471454503,Valid solution; no area repair needed.
keyword_spotting_tosa,tflite-graphs,123,0.5,jade,6205.823251196502,6096.322261099484,5748.769813391614,7130.084237263359,5859.494191119699,6564.416063609536,6205.823251196502,10,0,0,1.0,Valid solution; no area repair needed.
keyword_spotting_tosa,tflite-graphs,123,0.5,mip,7384.872736642808,7267.530976414713,6408.474346070463,8960.25578326996,6665.17970176745,8356.417785762682,6205.823251196502,10,0,10,1.1899908259905698,Invalid before post-processing; repaired with benefit_per_area greedy fixing to satisfy the area constraint.
keyword_spotting_tosa,tflite-graphs,123,0.5,pso,5898.593898394732,5857.956043343702,5490.591441126422,6757.261238751818,5529.085370595404,6295.122215085182,5893.582109584136,10,0,0,1.0008503807561187,Valid solution; no area repair needed.
keyword_spotting_tosa,tflite-graphs,123,0.5,random,7957.286140785489,8020.924386670006,7492.456884767898,8661.024735725901,7523.7538036194355,8197.026302659087,5682.052730811858,10,0,0,1.4004245503805002,Valid solution; no area repair needed.
keyword_spotting_tosa,tflite-graphs,123,0.5,shade,6205.823251196502,6096.322261099484,5748.769813391614,7130.084237263359,5859.494191119699,6564.416063609536,6205.823251196502,10,0,0,1.0,Valid solution; no area repair needed.
