graph_name,family,nodes,area_constraint,method,mean_makespan,median_makespan,min_makespan,max_makespan,p10_makespan,p90_makespan,mean_dag_makespan,num_runs,num_invalid_runs,num_repaired_runs,num_timeout_runs,num_failed_runs,mean_over_dag,validity_note_summary
keyword_spotting_tosa,tflite-graphs,123,0.5,diff_gnn_order,3298.7574107509377,3252.248976136745,2727.6414746099226,3800.266275725744,3051.5533373062513,3670.6331721299534,2966.062213738802,10,0,0,0,0,1.112167302314527,Valid solution; no area repair needed.
keyword_spotting_tosa,tflite-graphs,123,0.5,greedy,7209.400282558798,7172.527961330346,6408.474346070463,8289.32467492854,6665.17970176745,7752.800343784202,4650.530967958221,10,0,0,0,0,1.5502316471454503,Valid solution; no area repair needed.
keyword_spotting_tosa,tflite-graphs,123,0.5,mip,5748.8234270558005,5860.941529580427,4608.064687555785,6401.114487307256,4986.364896726269,6395.358947493521,2966.062213738802,10,0,0,0,0,1.938200554400797,Valid incumbent solution; no area repair needed.
keyword_spotting_tosa,tflite-graphs,123,0.5,random,6205.823251196502,6096.322261099484,5748.769813391614,7130.084237263359,5859.494191119699,6564.416063609536,6205.823251196502,10,0,0,0,0,1.0,Valid solution; no area repair needed.
