SimTime,GraphName,N,HW_Scale_Factor,HW_Scale_Var,Comm_Scale_Var,Area_Percentage,PSO_best_c1,PSO_best_c2,PSO_best_w,Random_best,Greedy_best,PSO_best,LB_Naive,SEED
2025-07-09 07:41:05,01_tosa.dot,175,0.3,1.0,1.0,0.5,0.575,0.1,1.525,14902.111443264079,14634.878627306882,9175.225254516206,2886.004721842406,420
2025-07-09 07:41:05,01_tosa.dot,175,0.3,0.5,10.0,0.1,0.575,0.1,1.525,1000000000.0,109080.51712106625,9292.819533486987,2738.156687628057,420
2025-07-09 07:41:05,01_tosa.dot,175,0.3,1.0,5.0,0.1,0.575,0.1,1.525,1000000000.0,53183.43125930941,9313.97953067519,2886.004721842406,420
2025-07-09 07:41:06,01_tosa.dot,175,0.3,1.0,10.0,0.5,0.575,0.1,1.525,92298.31445448517,111713.34622309286,9313.97953067519,2886.004721842406,420
2025-07-09 07:41:06,01_tosa.dot,175,0.3,1.0,10.0,0.1,0.575,0.1,1.525,1000000000.0,99497.55900293023,9313.97953067519,2886.004721842406,420
2025-07-09 07:41:06,01_tosa.dot,175,0.3,0.5,5.0,0.3,0.575,0.1,1.525,1000000000.0,70559.53366072486,9313.97953067519,2738.156687628057,420
2025-07-09 07:41:06,01_tosa.dot,175,0.3,10.0,1.0,0.9,0.575,0.1,1.525,18303.8639482371,12828.819667246462,9151.413079344837,4134.493469486406,420
2025-07-09 07:41:06,01_tosa.dot,175,0.3,0.5,1.0,0.1,0.575,0.1,1.525,1000000000.0,17132.543030800935,9194.545081743683,2738.156687628057,420
2025-07-09 07:41:06,01_tosa.dot,175,0.3,0.5,1.0,0.5,1.05,0.1,1.525,14895.006151871708,14427.396924317853,9271.43659048746,2738.156687628057,420
2025-07-09 07:41:06,01_tosa.dot,175,0.3,0.5,0.5,0.5,1.05,0.1,1.525,10534.323354181714,9152.66063179338,9160.21288336233,2738.156687628057,420
2025-07-09 07:41:07,01_tosa.dot,175,0.3,1.0,10.0,0.9,1.525,0.1,1.525,92298.31445448517,28227.070040612594,20343.75446542704,2886.004721842406,420
2025-07-09 07:41:07,01_tosa.dot,175,0.3,10.0,1.0,0.3,1.05,0.1,1.525,1000000000.0,15619.175448595199,9165.006727436978,4134.493469486406,420
2025-07-09 07:41:08,01_tosa.dot,175,0.3,1.0,0.5,0.9,1.525,0.1,1.525,10101.008561542052,4182.511330079841,4143.687299187253,2886.004721842406,420
2025-07-09 07:41:08,01_tosa.dot,175,0.3,1.0,5.0,0.5,0.575,0.1,1.525,49300.423892695675,57780.864225433994,9313.97953067519,2886.004721842406,420
2025-07-09 07:41:08,01_tosa.dot,175,0.3,10.0,5.0,0.9,0.575,0.1,1.525,52702.17639766871,40496.59125933423,9976.992768558785,4134.493469486406,420
2025-07-09 07:41:08,01_tosa.dot,175,0.3,5.0,10.0,0.5,1.05,0.1,1.525,93716.24584772243,117908.37638980387,9313.97953067519,3954.6436014781075,420
2025-07-09 07:41:09,01_tosa.dot,175,0.3,10.0,5.0,0.5,1.525,0.1,1.525,52702.17639766871,61148.2529218513,9255.406730946172,4134.493469486406,420
2025-07-09 07:41:10,01_tosa.dot,175,0.3,10.0,1.0,0.1,0.575,0.1,1.525,1000000000.0,14107.92723770115,9239.022300308367,4134.493469486406,420
2025-07-09 07:41:10,01_tosa.dot,175,0.3,0.5,10.0,0.5,0.575,0.1,1.525,92291.20916309279,109372.65018975837,9313.97953067519,2738.156687628057,420
2025-07-09 07:41:11,01_tosa.dot,175,0.3,5.0,1.0,0.3,0.575,0.1,1.525,1000000000.0,15814.431231986344,9149.765351878797,3954.6436014781075,420
2025-07-09 07:41:11,01_tosa.dot,175,0.3,5.0,10.0,0.9,0.575,0.1,1.525,93716.24584772243,71667.53844894949,12831.893186510079,3954.6436014781075,420
2025-07-09 07:41:11,01_tosa.dot,175,0.3,5.0,1.0,0.9,0.575,0.1,1.525,16320.04283650135,11049.974274264645,8198.760701327654,3954.6436014781075,420
2025-07-09 07:41:11,01_tosa.dot,175,0.3,1.0,0.5,0.5,0.575,0.1,1.525,10602.322387085125,9241.630427540997,9232.758717780624,2886.004721842406,420
2025-07-09 07:41:11,01_tosa.dot,175,0.3,5.0,1.0,0.5,1.05,0.1,1.525,16320.04283650135,15533.37902400985,9539.48697149123,3954.6436014781075,420
