GraphName,HW_Scale_Var,Comm_Scale_Var,Area_Percentage,Seed,Random_makespan,PSO_makespan,Greedy_makespan,min_makespan
mobile_net_tosa,0.5,0.5,0.1,42,39651.647103691765,41985.1251435997,41381.77765472524,39651.647103691765
mobile_net_tosa,0.5,1.0,0.1,42,51765.58700487321,42095.515357404205,50926.50764445396,42095.515357404205
mobile_net_tosa,0.5,5.0,0.1,42,148677.10621432465,42158.53827294688,127284.34756228338,42158.53827294688
mobile_net_tosa,0.5,10.0,0.1,42,271183.61829332495,42175.80222749304,223475.16658042974,42175.80222749304
mobile_net_tosa,1.0,0.5,0.1,42,40065.228583980985,41967.60648587058,41016.92414141813,40065.228583980985
mobile_net_tosa,1.0,1.0,0.1,42,52179.16848516246,42084.69190707546,50273.00640205443,42084.69190707546
mobile_net_tosa,1.0,5.0,0.1,42,149090.68769461408,42160.35270714291,124321.6644871449,42160.35270714291
mobile_net_tosa,1.0,10.0,0.1,42,271535.77043071704,42175.80222749304,217388.40122694682,42175.80222749304
mobile_net_tosa,5.0,0.5,0.1,42,48625.67749665619,42042.95483154374,39738.751297311464,39738.751297311464
mobile_net_tosa,5.0,1.0,0.1,42,60739.61739783771,42076.668770692915,47376.71990826429,42076.668770692915
mobile_net_tosa,5.0,5.0,0.1,42,157651.13660728952,42076.668770692915,108838.09732351115,42076.668770692915
mobile_net_tosa,5.0,10.0,0.1,42,279173.5428100677,42175.80222749304,186341.46477412825,42175.80222749304
mobile_net_tosa,10.0,0.5,0.1,42,60553.07830969156,42002.22830150857,39527.65259649474,39527.65259649474
mobile_net_tosa,10.0,1.0,0.1,42,72667.01821087312,42050.10775408446,46831.63051080552,42050.10775408446
mobile_net_tosa,10.0,5.0,0.1,42,169578.537420325,42076.668770692915,105619.73805602311,42076.668770692915
mobile_net_tosa,10.0,10.0,0.1,42,290717.936432139,42175.80222749304,179746.66049384925,42175.80222749304
mobile_net_tosa,0.5,0.5,0.3,42,39651.647103691765,42023.97158997186,36014.50825908687,36014.50825908687
mobile_net_tosa,0.5,1.0,0.3,42,51765.58700487321,42065.53060847009,48424.22419740797,42065.53060847009
mobile_net_tosa,0.5,5.0,0.3,42,148677.10621432465,42079.99796076696,147787.4163473544,42079.99796076696
mobile_net_tosa,0.5,10.0,0.3,42,271183.61829332495,42137.093666242305,273550.18311704486,42137.093666242305
mobile_net_tosa,1.0,0.5,0.3,42,40065.228583980985,41741.976631050566,35616.8208460347,35616.8208460347
mobile_net_tosa,1.0,1.0,0.3,42,52179.16848516246,41953.93427608002,47852.76343644589,41953.93427608002
mobile_net_tosa,1.0,5.0,0.3,42,149090.68769461408,42075.81039496228,145825.76880311285,42075.81039496228
mobile_net_tosa,1.0,10.0,0.3,42,271535.77043071704,42159.285291089676,269615.1400300717,42159.285291089676
mobile_net_tosa,5.0,0.5,0.3,42,48625.67749665619,41763.66468097363,35947.65898439467,35947.65898439467
mobile_net_tosa,5.0,1.0,0.3,42,60739.61739783771,42054.3354890865,48114.15376912395,42054.3354890865
mobile_net_tosa,5.0,5.0,0.3,42,157651.13660728952,41993.1865093437,145534.7993982321,41993.1865093437
mobile_net_tosa,5.0,10.0,0.3,42,279173.5428100677,42083.085676729206,268577.5464827636,42083.085676729206
mobile_net_tosa,10.0,0.5,0.3,42,60553.07830969156,41761.19422649589,35413.5162819775,35413.5162819775
mobile_net_tosa,10.0,1.0,0.3,42,72667.01821087312,42061.0738674712,46902.27801854822,42061.0738674712
mobile_net_tosa,10.0,5.0,0.3,42,169578.537420325,41993.1865093437,139187.89817906628,41993.1865093437
mobile_net_tosa,10.0,10.0,0.3,42,290717.936432139,42083.085676729206,256245.39358613358,42083.085676729206
mobile_net_tosa,0.5,0.5,0.5,42,38253.223299943,41823.55484906994,30258.063608780125,30258.063608780125
mobile_net_tosa,0.5,1.0,0.5,42,49077.17730049116,41998.58789444397,42259.212308923234,41998.58789444397
mobile_net_tosa,0.5,5.0,0.5,42,135668.80930487637,42047.72096498118,138492.8715475783,42047.72096498118
mobile_net_tosa,0.5,10.0,0.5,42,244777.87002555182,42137.093666242305,260451.04059902363,42137.093666242305
mobile_net_tosa,1.0,0.5,0.5,42,38623.47604069719,41807.99055185996,30373.01217514426,30373.01217514426
mobile_net_tosa,1.0,1.0,0.5,42,49447.43004124536,41922.10239967844,42525.71975609487,41922.10239967844
mobile_net_tosa,1.0,5.0,0.5,42,136039.0620456307,42036.048849691506,139812.3744285917,42036.048849691506
mobile_net_tosa,1.0,10.0,0.5,42,245059.8797007015,42159.285291089676,263063.6096349502,42159.285291089676
mobile_net_tosa,5.0,0.5,0.5,42,46247.10308059655,41639.8109206907,31698.260847881862,31698.260847881862
mobile_net_tosa,5.0,1.0,0.5,42,57540.21064029358,41936.594448569966,43776.066155545464,41936.594448569966
mobile_net_tosa,5.0,5.0,0.5,42,144131.8426446794,41986.7696033074,140398.50861685496,41986.7696033074
mobile_net_tosa,5.0,10.0,0.5,42,252470.4524400983,42099.60261313257,262506.6034631397,42099.60261313257
mobile_net_tosa,10.0,0.5,0.5,42,56470.24038311917,41799.974848720405,32346.246204860203,32346.246204860203
mobile_net_tosa,10.0,1.0,0.5,42,67556.65170369725,42076.668770692915,44478.61875914963,42076.668770692915
mobile_net_tosa,10.0,5.0,0.5,42,155432.22783200254,42048.672439610345,141554.17160702706,42048.672439610345
mobile_net_tosa,10.0,10.0,0.5,42,263671.76783748384,42099.60261313257,264481.89551514474,42099.60261313257
mobile_net_tosa,0.5,0.5,0.9,42,37429.36627045252,18160.93653893474,16367.210434553514,16367.210434553514
mobile_net_tosa,0.5,1.0,0.9,42,48166.84051264594,21699.369701704873,19772.712138615196,19772.712138615196
mobile_net_tosa,0.5,5.0,0.9,42,139065.31723242093,42101.442567471524,47544.66087084174,42101.442567471524
mobile_net_tosa,0.5,10.0,0.9,42,252231.10819729837,42151.27884936793,83131.59138641869,42151.27884936793
mobile_net_tosa,1.0,0.5,0.9,42,37835.85346035672,18746.152167495704,17576.408169082002,17576.408169082002
mobile_net_tosa,1.0,1.0,0.9,42,48573.327702550116,22403.711406575578,21486.245869842984,21486.245869842984
mobile_net_tosa,1.0,5.0,0.9,42,139513.38427032827,42099.571026244535,53248.916365588455,42099.571026244535
mobile_net_tosa,1.0,10.0,0.9,42,252576.4091138052,42159.285291089676,94605.52504929376,42159.285291089676
mobile_net_tosa,5.0,0.5,0.9,42,46621.30730432891,33813.519593094956,27153.15044775724,27153.15044775724
mobile_net_tosa,5.0,1.0,0.9,42,57892.321290241896,41971.44408694037,32960.033029577375,32960.033029577375
mobile_net_tosa,5.0,5.0,0.9,42,148547.70530864882,42085.90306010752,79474.95873548176,42085.90306010752
mobile_net_tosa,5.0,10.0,0.9,42,260676.5773937955,42099.60261313257,138772.9710095677,42099.60261313257
mobile_net_tosa,10.0,0.5,0.9,42,54692.554453721095,41926.57882409784,36533.260582373885,36533.260582373885
mobile_net_tosa,10.0,1.0,0.9,42,67556.65170369725,42022.378457903746,42941.12475361786,42022.378457903746
mobile_net_tosa,10.0,5.0,0.9,42,155432.22783200254,42021.81102440005,94204.03812357046,42021.81102440005
mobile_net_tosa,10.0,10.0,0.9,42,273156.6184708779,42099.60261313257,158666.86921133974,42099.60261313257
rez_net_tosa,0.5,0.5,0.1,42,15535.647728450493,18203.96613990039,16555.959120486263,15535.647728450493
rez_net_tosa,0.5,1.0,0.1,42,19271.895809955713,18218.469014235605,19829.073856815972,18218.469014235605
rez_net_tosa,0.5,5.0,0.1,42,49572.00051336711,18289.158768004214,47135.580324477116,18289.158768004214
rez_net_tosa,0.5,10.0,0.1,42,89276.53464544241,18289.158768004214,82212.28978539612,18289.158768004214
