SimTime,Config,GraphName,N,HW_Scale_Factor,HW_Scale_Var,Comm_Scale_Var,Area_Percentage,Seed,LB_Naive,greedy_opt_cost,greedy_opt_ratio,greedy_partition_cost,greedy_bb,greedy_makespan,random_opt_cost,random_opt_ratio,random_partition_cost,random_bb,random_makespan,pso_opt_cost,pso_opt_ratio,pso_partition_cost,pso_bb,pso_makespan,dbpso_opt_cost,dbpso_opt_ratio,dbpso_partition_cost,dbpso_bb,dbpso_makespan,clpso_opt_cost,clpso_opt_ratio,clpso_partition_cost,clpso_bb,clpso_makespan,ccpso_opt_cost,ccpso_opt_ratio,ccpso_partition_cost,ccpso_bb,ccpso_makespan,esa_opt_cost,esa_opt_ratio,esa_partition_cost,esa_bb,esa_makespan,shade_opt_cost,shade_opt_ratio,shade_partition_cost,shade_bb,shade_makespan,jade_opt_cost,jade_opt_ratio,jade_partition_cost,jade_bb,jade_makespan,gl25_opt_cost,gl25_opt_ratio,gl25_partition_cost,gl25_bb,gl25_makespan
2025-07-23 09:56:45,config_default_tflite-graphs_anomaly_detection_tosa_area-0.1_hwvar-1.0_comm-0.5,/people/mehr668/encode_scripts/hw_sw_partition_min_cut/soda-benchmark-graphs/tflite-graphs/anomaly_detection_tosa.dot,64,0.3,1,0.5,0.1,42,841.1905888876018,3079.578025230346,3.660975367428692,3079.578025230346,None,2666.17868405606,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_random,3023.0020527059614,2997.3921682748487,3.56327354094466,2997.3921682748487,optimize_swarm,2954.0365521589583,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_random,3023.0020527059614,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_single_point,3023.0020527059614
2025-07-23 09:56:46,config_default_tflite-graphs_anomaly_detection_tosa_area-0.1_hwvar-5.0_comm-5.0,/people/mehr668/encode_scripts/hw_sw_partition_min_cut/soda-benchmark-graphs/tflite-graphs/anomaly_detection_tosa.dot,64,0.3,5,5,0.1,42,1063.5783614517968,10564.330437288767,9.932818135626917,10564.330437288767,None,6527.734118065988,3023.0020527059605,2.842293677900261,3023.0020527059605,optimize_random,3023.0020527059614,3023.0020527059605,2.842293677900261,3023.0020527059605,optimize_swarm,3023.0020527059614,3023.0020527059605,2.842293677900261,3023.0020527059605,optimize_random,3023.0020527059614,3023.0020527059605,2.842293677900261,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,2.842293677900261,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,2.842293677900261,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,2.842293677900261,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,2.842293677900261,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,2.842293677900261,3023.0020527059605,optimize_single_point,3023.0020527059614
2025-07-23 09:56:48,config_default_tflite-graphs_anomaly_detection_tosa_area-0.1_hwvar-5.0_comm-1.0,/people/mehr668/encode_scripts/hw_sw_partition_min_cut/soda-benchmark-graphs/tflite-graphs/anomaly_detection_tosa.dot,64,0.3,5,1,0.1,42,1063.5783614517968,3786.1110952789677,3.55978575016408,3786.1110952789677,None,2978.7918314344115,3023.0020527059605,2.842293677900261,3023.0020527059605,optimize_random,3023.0020527059614,3023.0020527059605,2.842293677900261,3023.0020527059605,optimize_swarm,3023.0020527059614,3023.0020527059605,2.842293677900261,3023.0020527059605,optimize_random,3023.0020527059614,3023.0020527059605,2.842293677900261,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,2.842293677900261,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,2.842293677900261,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,2.842293677900261,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,2.842293677900261,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,2.842293677900261,3023.0020527059605,optimize_single_point,3023.0020527059614
2025-07-23 09:56:59,config_default_tflite-graphs_anomaly_detection_tosa_area-0.9_hwvar-1.0_comm-0.5,/people/mehr668/encode_scripts/hw_sw_partition_min_cut/soda-benchmark-graphs/tflite-graphs/anomaly_detection_tosa.dot,64,0.3,1,0.5,0.9,42,841.1905888876018,1240.3460958830678,1.4745125685765372,1240.3460958830678,None,1050.7168146947824,2621.112809177443,3.1159559365061686,2621.112809177443,optimize_random,2217.38742947583,991.8939516179412,1.1791548368719043,991.8939516179412,optimize_swarm,919.6579206641045,1155.6851292177023,1.3738683533609082,1155.6851292177023,optimize_random,1050.9377033142466,2613.5603952320944,3.1069776929961743,2613.5603952320944,optimize_single_point,2041.7206155590127,2339.318027694527,2.7809607698869554,2339.318027694527,optimize_single_point,2100.3889394067064,2298.5101369182858,2.732448706966464,2298.5101369182858,optimize_single_point,1876.2908862085476,1085.9716527939054,1.290993583546868,1085.9716527939054,optimize_single_point,1067.1480444017375,1044.8091499781083,1.2420599609415193,1044.8091499781083,optimize_single_point,1022.1524273335617,993.953608122292,1.1816033384737523,993.953608122292,optimize_single_point,993.9536081222923
2025-07-23 09:57:01,config_default_tflite-graphs_anomaly_detection_tosa_area-0.1_hwvar-1.0_comm-5.0,/people/mehr668/encode_scripts/hw_sw_partition_min_cut/soda-benchmark-graphs/tflite-graphs/anomaly_detection_tosa.dot,64,0.3,1,5,0.1,42,841.1905888876018,11481.875864865991,13.649553402695256,11481.875864865991,None,7347.882453123131,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_random,3023.0020527059614,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_swarm,3023.0020527059614,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_random,3023.0020527059614,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_single_point,3023.0020527059614
2025-07-23 09:57:12,config_default_tflite-graphs_anomaly_detection_tosa_area-0.5_hwvar-0.5_comm-1.0,/people/mehr668/encode_scripts/hw_sw_partition_min_cut/soda-benchmark-graphs/tflite-graphs/anomaly_detection_tosa.dot,64,0.3,0.5,1,0.5,42,838.2862715330435,3813.8037402775367,4.549524273256817,3813.8037402775367,None,2867.3919200785763,3023.0020527059605,3.6061691039954002,3023.0020527059605,optimize_random,3023.0020527059614,2955.690585331689,3.5258725875665036,2955.690585331689,optimize_swarm,2820.036268112491,2947.2310617967773,3.5157811381151833,2947.2310617967773,optimize_random,2329.319669039667,3023.0020527059605,3.6061691039954002,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,3.6061691039954002,3023.0020527059605,optimize_single_point,3023.0020527059614,1950.713131038096,2.327025023886727,1950.713131038096,optimize_single_point,1815.290970438499,1956.5777472331297,2.3340209826590312,1956.5777472331297,optimize_single_point,1799.3207561966303,2054.682316396587,2.451050895345118,2054.682316396587,optimize_single_point,1929.553292766053,1959.6705778960743,2.337710451004121,1959.6705778960743,optimize_single_point,1887.729660865891
2025-07-23 09:57:17,config_default_tflite-graphs_anomaly_detection_tosa_area-0.5_hwvar-1.0_comm-5.0,/people/mehr668/encode_scripts/hw_sw_partition_min_cut/soda-benchmark-graphs/tflite-graphs/anomaly_detection_tosa.dot,64,0.3,1,5,0.5,42,841.1905888876018,16149.275611700525,19.198117317332894,16149.275611700525,None,10158.164640854626,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_random,3023.0020527059614,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_swarm,3023.0020527059614,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_random,3023.0020527059614,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_single_point,3023.0020527059614,2187.1239677499557,2.600033805231022,2187.1239677499557,optimize_single_point,2187.123967749956,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_single_point,3023.0020527059614,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_single_point,3023.0020527059614,2712.6497640480993,3.2247742662401064,2712.6497640480993,optimize_single_point,2712.649764048099
2025-07-23 09:57:18,config_default_tflite-graphs_anomaly_detection_tosa_area-0.9_hwvar-5.0_comm-0.5,/people/mehr668/encode_scripts/hw_sw_partition_min_cut/soda-benchmark-graphs/tflite-graphs/anomaly_detection_tosa.dot,64,0.3,5,0.5,0.9,42,1063.5783614517968,1768.2438517994158,1.6625421462935204,1768.2438517994158,None,1677.8798292740207,3023.0020527059605,2.842293677900261,3023.0020527059605,optimize_random,3023.0020527059614,1580.766546014226,1.486271819084831,1580.766546014226,optimize_swarm,1419.6061152208522,1628.1582429052987,1.5308305451822504,1628.1582429052987,optimize_random,1503.5043421897346,3023.0020527059605,2.842293677900261,3023.0020527059605,optimize_single_point,3023.0020527059614,2984.2926103848076,2.805898200402661,2984.2926103848076,optimize_single_point,2549.0556626138145,2604.4860838027207,2.448795667718895,2604.4860838027207,optimize_single_point,2182.8136273151113,1460.4625082784764,1.373159290571621,1460.4625082784764,optimize_single_point,1419.3545566365678,1453.6798440390273,1.3667820789948542,1453.6798440390273,optimize_single_point,1402.83218314511,1511.1833886585014,1.4208481889343052,1511.1833886585014,optimize_single_point,1451.2518286244251
2025-07-23 10:07:23,config_default_tflite-graphs_anomaly_detection_tosa_area-0.9_hwvar-1.0_comm-1.0,/people/mehr668/encode_scripts/hw_sw_partition_min_cut/soda-benchmark-graphs/tflite-graphs/anomaly_detection_tosa.dot,64,0.3,1,1,0.9,42,841.1905888876018,1628.592086247977,1.9360559993920547,1628.592086247977,None,1249.3335238714062,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_random,3023.0020527059614,1140.0895439793017,1.3553284583068939,1140.0895439793017,optimize_swarm,1010.9390356590443,1208.3631828524492,1.4364915618592449,1208.3631828524492,optimize_random,960.5746394095959,3023.0020527059605,3.593718347115136,3023.0020527059605,optimize_single_point,3023.0020527059614,2963.5464245996586,3.5230380174826723,2963.5464245996586,optimize_single_point,2485.6882480240197,2274.271783584098,2.7036343649441155,2274.271783584098,optimize_single_point,1692.289720846144,1067.1096486873291,1.2685705983687772,1067.1096486873291,optimize_single_point,1027.2966990631116,1198.3041833224427,1.4245335113735533,1198.3041833224427,optimize_single_point,1152.9907380333486,1039.5447658243413,1.2358017071958032,1039.5447658243413,optimize_single_point,980.2523976961077
2025-07-23 10:07:56,config_default_tflite-graphs_keyword_spotting_tosa_area-0.1_hwvar-0.5_comm-0.5,/people/mehr668/encode_scripts/hw_sw_partition_min_cut/soda-benchmark-graphs/tflite-graphs/keyword_spotting_tosa.dot,119,0.3,0.5,0.5,0.1,42,1704.335428161059,7464.044832992834,4.379445917548271,7464.044832992834,None,6141.761845229889,5852.826836375508,3.434081542675306,5852.826836375508,optimize_random,5852.826836375507,5852.826836375508,3.434081542675306,5852.826836375508,optimize_swarm,5852.826836375507,5852.826836375508,3.434081542675306,5852.826836375508,optimize_random,5852.826836375507,5852.826836375508,3.434081542675306,5852.826836375508,optimize_single_point,5852.826836375507,5852.826836375508,3.434081542675306,5852.826836375508,optimize_single_point,5852.826836375507,5852.826836375508,3.434081542675306,5852.826836375508,optimize_single_point,5852.826836375507,5852.826836375508,3.434081542675306,5852.826836375508,optimize_single_point,5852.826836375507,5852.826836375508,3.434081542675306,5852.826836375508,optimize_single_point,5852.826836375507,5852.826836375508,3.434081542675306,5852.826836375508,optimize_single_point,5852.826836375507
