method,n,mean_makespan,median_makespan,min_makespan,max_makespan,std_makespan
mip,15,3094.5466162127364,3245.4444069173787,503.94363734427395,4811.228793754074,1474.3849626657316
diff_gnn_with_order,15,4624.542829195993,5210.000842594816,620.5482561486454,7923.149128150284,2128.143447056728
diff_gnn_without_order,15,4921.815001368542,5423.627924489926,848.0510601376736,7923.149128150284,2102.2006721297157
gl25_org,15,6653.438959160958,5978.473010490969,2696.838459383831,9466.813815823476,2443.7065326826623
gcps_org,15,6908.759228852953,8369.31565149153,1567.3283695429202,9466.813815823476,2727.335269031785
