method,label,n,mean_makespan,median_makespan,min_makespan,max_makespan,std_makespan
mip,mip,5,4025.915941772359,4413.573641641579,1513.504864763078,4991.885476406772,1280.5251150306012
diff_gnn,diff_gnn_without_order,5,6528.660614704295,7251.252783808956,2993.887114571058,7801.0410351911105,1800.109350850625
diff_gnn_order,diff_gnn_with_order,5,6548.1817603851205,7251.252783808956,3007.5978638768856,7801.0410351911105,1798.1285322975182
gcps,gcps_org,5,8089.679106647183,8769.553212251987,4830.574423667455,9081.105432246792,1634.2266821332594
gl25,gl25_org,5,8166.670634489294,8769.553212251987,4612.874808016421,9466.813815823476,1796.9329461197724
