Config,old_makespan,new_makespan,gap_pct
config_mkspan_area_0.1_hw_0.1_seed_1,8290.147058565779,8536.311590795625,2.9693626722278386
config_mkspan_area_0.1_hw_0.1_seed_2,7833.283107473885,8167.4138303528825,4.265525939694391
config_mkspan_area_0.1_hw_0.3_seed_1,8290.147058565779,8406.50963619144,1.4036250117593496
config_mkspan_area_0.1_hw_0.7_seed_2,7852.277355225627,8550.407287079464,8.89079562872595
config_mkspan_area_0.1_hw_0.9_seed_0,8945.955403756587,8990.744493092796,0.5006630070769333
config_mkspan_area_0.1_hw_0.9_seed_1,8290.147058565779,8346.54783926394,0.6803351050315183
config_mkspan_area_0.1_hw_0.9_seed_2,8178.291365941627,8422.781181520586,2.989497495737716
config_mkspan_area_0.3_hw_0.1_seed_1,9418.169937204873,9491.976638534572,0.7836628752910673
config_mkspan_area_0.3_hw_0.1_seed_2,7863.154890814371,8269.552290895934,5.168375871068116
config_mkspan_area_0.3_hw_0.1_seed_3,8258.924551919099,8408.55315701332,1.8117202082861141
config_mkspan_area_0.3_hw_0.3_seed_2,7771.58244702012,8121.685798609663,4.504917164248633
config_mkspan_area_0.3_hw_0.3_seed_3,8340.169323254575,8812.886618563423,5.6679580112455135
config_mkspan_area_0.3_hw_0.5_seed_1,10040.505162670795,10223.938533077226,1.826933679476706
config_mkspan_area_0.3_hw_0.5_seed_2,7833.283107473885,8423.657336544873,7.5367406101753245
config_mkspan_area_0.3_hw_0.5_seed_3,8371.171156151533,8562.014209116984,2.2797652730491613
config_mkspan_area_0.3_hw_0.7_seed_1,10469.632989800448,10487.677287543913,0.17234890431253713
config_mkspan_area_0.3_hw_0.7_seed_2,7760.704911431377,8178.291365941627,5.380779958469406
config_mkspan_area_0.3_hw_0.7_seed_3,8742.286655335525,8844.377400410722,1.1677808003800618
config_mkspan_area_0.3_hw_0.9_seed_3,8758.032046259174,9081.280920523763,3.6908848078794
config_mkspan_area_0.5_hw_0.1_seed_1,4816.855472947482,5143.1737314982465,6.774507983132144
config_mkspan_area_0.5_hw_0.1_seed_3,5632.292522966641,9214.558124102598,63.60226473551672
config_mkspan_area_0.5_hw_0.3_seed_1,5055.2286314495295,8452.283446909596,67.19883635581482
config_mkspan_area_0.5_hw_0.3_seed_3,5240.049312539777,9214.558124102598,75.8486910047118
config_mkspan_area_0.5_hw_0.5_seed_1,5881.069925089868,8769.553212251987,49.114928473121
config_mkspan_area_0.5_hw_0.7_seed_0,9148.233636287454,9386.539903378412,2.604942949267179
config_mkspan_area_0.5_hw_0.7_seed_2,8178.291365941627,8942.015456463534,9.338430930725023
config_mkspan_area_0.5_hw_0.7_seed_3,6959.607389354992,8828.524078504783,26.853766090431712
config_mkspan_area_0.5_hw_0.9_seed_0,9079.519227027824,9466.813815823476,4.265584764034172
config_mkspan_area_0.5_hw_0.9_seed_1,8467.069533924234,8769.553212251987,3.572471881987264
config_mkspan_area_0.5_hw_0.9_seed_2,8666.983188410368,8942.015456463534,3.173333351112806
config_mkspan_area_0.7_hw_0.1_seed_1,3185.317755330749,3249.121470091363,2.0030565130852587
config_mkspan_area_0.7_hw_0.3_seed_0,9148.233636287454,9466.813815823476,3.4824228610902495
config_mkspan_area_0.7_hw_0.3_seed_3,3143.768321146499,9214.558124102598,193.10550851094985
config_mkspan_area_0.7_hw_0.5_seed_2,4291.391976893228,4917.91371862314,14.599499302403155
config_mkspan_area_0.7_hw_0.7_seed_0,9148.233636287454,9466.813815823476,3.4824228610902495
config_mkspan_area_0.7_hw_0.9_seed_0,9079.519227027824,9466.813815823476,4.265584764034172
config_mkspan_area_0.9_hw_0.1_seed_1,1286.53665781976,1643.069677289695,27.712620336379423
config_mkspan_area_0.9_hw_0.1_seed_2,1377.9646893059687,1628.6726523717905,18.19407746885694
config_mkspan_area_0.9_hw_0.1_seed_3,1158.2339789751063,1581.3073181902776,36.52745014349681
config_mkspan_area_0.9_hw_0.3_seed_1,2509.1694139261954,2518.006521189173,0.35219253088015806
config_mkspan_area_0.9_hw_0.5_seed_1,3160.9498759499947,3392.9433650886494,7.339359946950477
config_mkspan_area_0.9_hw_0.5_seed_3,3079.512477057725,3295.3972435827905,7.0103553121930995
config_mkspan_area_0.9_hw_0.7_seed_3,3790.4397105091234,4152.4422062790445,9.550409013662895
config_mkspan_area_0.9_hw_0.9_seed_0,9079.519227027824,9466.813815823476,4.265584764034172
