metric,mip,diff_old,diff_new,gl25
mean_makespan,2137.6112109829546,4990.481742638463,5002.527577429297,5174.851169778362
median_makespan,2114.941642563786,5240.049312539777,4256.7185407177785,5229.587341119073
mean_gap_to_mip_%,0.0,139.41741271585863,136.9381399990665,154.5094686864214
median_gap_to_mip_%,0.0,118.14675913634292,106.41125442909947,163.88758408178617
