Config,old_makespan,new_makespan,gap_pct
config_mkspan_area_0.1_hw_0.1_seed_0,9006.233983495113,8990.744493092796,-0.17198632003901831
config_mkspan_area_0.1_hw_0.1_seed_3,9176.932562614338,8560.811117189302,-6.71380596099221
config_mkspan_area_0.1_hw_0.3_seed_0,9047.814617665212,8945.955403756587,-1.1257880296281946
config_mkspan_area_0.1_hw_0.3_seed_2,8178.291365941627,8167.4138303528825,-0.13300498969801913
config_mkspan_area_0.1_hw_0.3_seed_3,9176.932562614338,8710.795873488227,-5.079438973160741
config_mkspan_area_0.1_hw_0.5_seed_0,9047.814617665212,8990.744493092796,-0.6307614267537098
config_mkspan_area_0.1_hw_0.5_seed_1,8275.84499839865,8217.768006320845,-0.701765101799797
config_mkspan_area_0.1_hw_0.5_seed_3,9176.932562614338,8840.314536086793,-3.6680887020885873
config_mkspan_area_0.1_hw_0.7_seed_0,9047.814617665212,9032.325127262893,-0.17119593025343852
config_mkspan_area_0.1_hw_0.7_seed_1,8189.676310285515,8180.436130642929,-0.11282716547637896
config_mkspan_area_0.1_hw_0.7_seed_3,9169.649965476961,8700.870784562396,-5.112290901828137
config_mkspan_area_0.1_hw_0.9_seed_3,9117.81907208507,8849.966298887117,-2.9376846708661555
config_mkspan_area_0.3_hw_0.3_seed_1,9666.414649309707,9581.576931861682,-0.877654440926379
config_mkspan_area_0.3_hw_0.9_seed_0,8961.444894158905,8945.955403756587,-0.17284590359323243
config_mkspan_area_0.3_hw_0.9_seed_1,11303.197048006157,11075.036941327888,-2.0185448922923643
config_mkspan_area_0.3_hw_0.9_seed_2,8178.291365941627,8167.4138303528825,-0.13300498969801913
config_mkspan_area_0.5_hw_0.3_seed_2,8942.015456463534,8853.837862286271,-0.9861042469293189
config_mkspan_area_0.5_hw_0.5_seed_2,8942.015456463534,8931.13792087479,-0.12164523357966317
config_mkspan_area_0.5_hw_0.5_seed_3,6497.7634291916,6428.2297849468805,-1.0701165870757237
config_mkspan_area_0.7_hw_0.1_seed_3,3616.151422086662,3496.683123539163,-3.303741591621771
config_mkspan_area_0.7_hw_0.3_seed_1,4015.8001073113146,3944.071562012998,-1.786158259414477
config_mkspan_area_0.7_hw_0.5_seed_0,9148.233636287454,5285.678314575545,-42.22187009293977
config_mkspan_area_0.7_hw_0.5_seed_1,4894.047281595932,4639.021653934636,-5.21093510110375
config_mkspan_area_0.7_hw_0.5_seed_3,5180.2198446490365,4770.153173115092,-7.9160090465567325
config_mkspan_area_0.7_hw_0.7_seed_3,5801.605812389371,5406.888197903059,-6.803592440620306
config_mkspan_area_0.9_hw_0.3_seed_0,9148.233636287454,2931.930939894456,-67.95085197360247
config_mkspan_area_0.9_hw_0.3_seed_2,2957.621893450434,2524.8877242672106,-14.631152485769071
config_mkspan_area_0.9_hw_0.3_seed_3,2901.6025206418153,2438.352280886533,-15.96532386706137
config_mkspan_area_0.9_hw_0.5_seed_0,9148.233636287454,3913.7443920075093,-57.218578497129535
config_mkspan_area_0.9_hw_0.5_seed_2,4126.692566501329,3421.1027961626296,-17.098190838502624
config_mkspan_area_0.9_hw_0.7_seed_0,9148.233636287454,4895.55784412056,-46.48630502065664
config_mkspan_area_0.9_hw_0.7_seed_2,8942.015456463534,4317.31786805805,-51.71873847592855
