Config,GraphName,N,Area_Percentage,HW_Scale_Factor,Seed,method,makespan,time_s,mip_makespan,gap,gap_%,ratio
config_mkspan_area_0.3_hw_0.1_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.3,0.1,2,ccpso,8942.015456463534,3.9296040534973145,2843.824257560919,2.1443628883498205,214.43628883498204,3.1443628883498205
config_mkspan_area_0.3_hw_0.1_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.3,0.1,3,ccpso,9214.558124102598,3.8591368198394775,3058.8993540214674,2.012377021162341,201.23770211623412,3.012377021162341
config_mkspan_area_0.3_hw_0.3_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.3,0.3,0,ccpso,9466.813815823476,3.892659902572632,3245.4444069173787,1.9169545457767807,191.69545457767808,2.9169545457767807
config_mkspan_area_0.3_hw_0.3_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.3,0.3,1,ccpso,8769.553212251987,3.906070947647095,3134.9503597985445,1.7973499436257514,179.73499436257515,2.7973499436257514
config_mkspan_area_0.3_hw_0.3_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.3,0.3,2,ccpso,8942.015456463534,3.725657224655152,3298.588716871651,1.7108609844952278,171.08609844952278,2.710860984495228
config_mkspan_area_0.3_hw_0.3_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.3,0.3,3,ccpso,9214.558124102598,3.879781484603882,3399.0070373361177,1.7109558829640625,171.09558829640625,2.7109558829640625
config_mkspan_area_0.3_hw_0.5_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.3,0.5,0,ccpso,9466.813815823476,3.961764335632324,3957.896365308934,1.3918801661408693,139.18801661408693,2.3918801661408695
config_mkspan_area_0.3_hw_0.5_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.3,0.5,1,ccpso,8769.553212251987,3.9750280380249023,3769.583217337472,1.3263986246325896,132.63986246325896,2.32639862463259
config_mkspan_area_0.3_hw_0.5_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.3,0.5,2,ccpso,8942.015456463534,3.814446926116944,3694.680292725442,1.4202406562943253,142.02406562943253,2.4202406562943253
config_mkspan_area_0.3_hw_0.5_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.3,0.5,3,ccpso,9214.558124102598,3.8730311393737793,3885.008869939899,1.3718242178029176,137.18242178029178,2.3718242178029176
config_mkspan_area_0.3_hw_0.7_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.3,0.7,0,ccpso,9466.813815823476,3.8587183952331534,4348.648750284236,1.1769552703479922,117.69552703479921,2.176955270347992
config_mkspan_area_0.3_hw_0.7_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.3,0.7,1,ccpso,8769.553212251987,3.986650228500366,4278.39249266635,1.0497308807651462,104.97308807651461,2.049730880765146
config_mkspan_area_0.3_hw_0.7_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.3,0.7,2,ccpso,8942.015456463534,3.810191154479981,4114.73574825049,1.1731688262765145,117.31688262765145,2.1731688262765148
config_mkspan_area_0.3_hw_0.7_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.3,0.7,3,ccpso,9214.558124102598,3.735183000564575,4360.981610856496,1.1129550514873323,111.29550514873323,2.112955051487332
config_mkspan_area_0.3_hw_0.9_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.3,0.9,0,ccpso,9466.813815823476,3.761129140853882,4683.854235009131,1.0211589304091613,102.11589304091613,2.0211589304091615
config_mkspan_area_0.3_hw_0.9_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.3,0.9,1,ccpso,8769.553212251987,3.7946176528930655,4811.228793754074,0.8227262905552528,82.27262905552529,1.8227262905552528
config_mkspan_area_0.3_hw_0.9_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.3,0.9,2,ccpso,8942.015456463534,3.819812536239624,4506.613249919866,0.9841985456867275,98.41985456867275,1.9841985456867275
config_mkspan_area_0.3_hw_0.9_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.3,0.9,3,ccpso,9214.558124102598,3.8962650299072266,4703.102627498241,0.9592509145402532,95.92509145402532,1.9592509145402532
config_mkspan_area_0.5_hw_0.1_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.5,0.1,0,ccpso,8117.73723535532,3.864204406738281,1491.2977569847144,4.443404710651976,444.34047106519756,5.443404710651976
config_mkspan_area_0.5_hw_0.1_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.5,0.1,1,ccpso,8416.770840215302,3.914561271667481,1421.7807731473793,4.919879491395284,491.98794913952844,5.919879491395284
config_mkspan_area_0.5_hw_0.1_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.5,0.1,2,ccpso,6772.846544907835,3.952176570892334,1491.0787158573337,3.5422461422592395,354.224614225924,4.5422461422592395
config_mkspan_area_0.5_hw_0.1_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.5,0.1,3,ccpso,8304.419461180596,4.017255783081055,1684.289906607599,3.9305166697263454,393.05166697263456,4.930516669726345
config_mkspan_area_0.5_hw_0.3_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.5,0.3,0,ccpso,8556.38349558829,3.8476462364196777,2337.783303475436,2.660041323277505,266.0041323277505,3.660041323277505
config_mkspan_area_0.5_hw_0.3_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.5,0.3,1,ccpso,8767.35178928696,3.9582302570343018,2114.941642563786,3.1454343764582333,314.54343764582336,4.145434376458233
config_mkspan_area_0.5_hw_0.3_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.5,0.3,2,ccpso,7299.201993576847,3.9039864540100098,2283.2253242448087,2.196882023017638,219.6882023017638,3.196882023017638
config_mkspan_area_0.5_hw_0.3_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.5,0.3,3,ccpso,8784.643042143227,3.8529348373413086,2402.075251214123,2.6571056788096254,265.71056788096257,3.6571056788096254
config_mkspan_area_0.5_hw_0.5_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.5,0.5,0,ccpso,9006.303968291058,3.892793893814087,3255.2574072885595,1.7666948696978118,176.6694869697812,2.766694869697812
config_mkspan_area_0.5_hw_0.5_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179.0,0.5,0.5,1,ccpso,8769.553212251987,3.9676382541656494,2973.244389766188,1.9494895348786359,194.94895348786358,2.949489534878636
