method,diff_gnn_with_order,diff_gnn_without_order,diff_gnn_org,gl25_org
diff_gnn_with_order,,0.49122807017543857,0.47368421052631576,0.8245614035087719
diff_gnn_without_order,0.47368421052631576,,0.5087719298245614,0.631578947368421
diff_gnn_org,0.47368421052631576,0.3157894736842105,,0.6491228070175439
gl25_org,0.17543859649122806,0.3684210526315789,0.3508771929824561,
