Config,GraphName,N,HW_Scale_Factor,HW_Scale_Var,Comm_Scale_Var,Area_Percentage,Seed,milp,diff_gnn_with_order,diff_gnn_without_order,random_org,greedy_org,pso_org,dbpso_org,clpso_org,ccpso_org,esa_org,shade_org,jade_org,gl25_org,best_method
config_mkspan_area_0.1_hw_0.7_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.7,0.5,1.0,0.1,3,4991.885476406772,8808.179421276125,8708.153381699773,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,milp
config_mkspan_area_0.1_hw_0.9_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.9,0.5,1.0,0.1,0,4834.354056955636,9003.025528329003,8990.744493092796,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,milp
config_mkspan_area_0.1_hw_0.9_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.9,0.5,1.0,0.1,1,4861.9669757661295,8598.437888928493,8266.604818756065,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,milp
config_mkspan_area_0.1_hw_0.9_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.9,0.5,1.0,0.1,2,4637.697546388735,8483.662169519957,8167.413830352882,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,milp
config_mkspan_area_0.1_hw_0.9_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.9,0.5,1.0,0.1,3,4916.234829316913,9012.413435071318,8716.616175486044,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,milp
config_mkspan_area_0.3_hw_0.1_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.3,0,2768.7934472023976,9047.814617665212,9047.814617665212,9466.813815823476,9466.813815823476,8873.925364940444,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,milp
config_mkspan_area_0.3_hw_0.1_seed_1,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.3,1,2578.9709729139763,8224.904933002113,9625.52879429717,8769.553212251987,8769.553212251987,8634.361799400003,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,8769.553212251987,milp
config_mkspan_area_0.3_hw_0.1_seed_2,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.3,2,2843.824257560919,8248.289255852202,7611.279669462174,8942.015456463534,8942.015456463534,8206.930143807722,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,8942.015456463534,milp
config_mkspan_area_0.3_hw_0.1_seed_3,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.1,0.5,1.0,0.3,3,3058.8993540214674,8585.888942201509,8706.576325173064,9214.558124102598,9214.558124102598,8632.40879398209,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,9214.558124102598,milp
config_mkspan_area_0.3_hw_0.3_seed_0,inputs/task_graph_topology/soda-benchmark-graphs/pytorch-graphs/squeeze_net_tosa.dot,179,0.3,0.5,1.0,0.3,0,3245.4444069173787,9003.025528329003,9047.814617665212,9466.813815823476,9466.813815823476,8887.444858150353,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,9466.813815823476,milp
