method,label,n,mean_makespan,median_makespan,min_makespan,max_makespan
diff_gnn_order,diff_gnn_with_order,5,4223.605814906412,4355.931419870715,2149.367484191261,6009.114241723592
diff_gnn,diff_gnn_without_order,5,4492.550844926472,4458.880169303652,2672.3399639253157,6299.7605503544455
gl25,gl25_org,5,5704.1626764469265,5341.585786999855,3590.669575096641,8769.553212251987
gcps,gcps_org,5,6284.501620746249,5862.85014011174,3681.549037959657,8305.193626444763
