method,label,n,mean_makespan,median_makespan,min_makespan,max_makespan
diff_gnn,diff_gnn_without_order,5,6528.660614704295,7251.252783808956,2993.887114571058,7801.0410351911105
diff_gnn_order,diff_gnn_with_order,5,6548.181760385121,7251.252783808956,3007.5978638768856,7801.0410351911105
gcps,gcps_org,5,8089.679106647183,8769.553212251987,4830.574423667455,9081.105432246792
gl25,gl25_org,5,8166.670634489294,8769.553212251987,4612.874808016421,9466.813815823476
