method,count,mean_makespan,median_makespan,std_makespan,min_makespan,max_makespan,best_count
diff_gnn_with_order,57,7819.821083005296,8483.662169519957,1584.688287955958,3888.448277806976,9466.813815823476,16
gl25_org,57,8073.7492587168845,8942.015456463534,1634.4714719751214,4669.146109088412,9466.813815823476,10
diff_gnn_without_order,57,8298.75451168556,8586.672222729467,1219.8040439730512,4668.265311921804,10747.387633690276,18
diff_gnn_org,57,8352.841381435735,8758.032046259174,1285.7615068715813,4816.855472947482,11303.197048006155,13
