method,n,mean_makespan,median_makespan,min_makespan,max_makespan,std_makespan
diff_gnn_with_order,5,4223.605814906412,4355.931419870715,2149.367484191261,6009.114241723592,1390.752783320605
mip,5,4329.290637379611,4032.428240343783,2880.844436178383,6287.021388323539,1260.0820065496
diff_gnn_without_order,5,4492.550844926472,4458.880169303652,2672.3399639253157,6299.7605503544455,1299.0049136529585
gl25_org,5,5704.1626764469265,5341.585786999855,3590.669575096641,8769.553212251987,1912.0143326335174
gcps_org,5,6284.501620746249,5862.85014011174,3681.549037959657,8305.193626444763,1883.6649032714497
