method,label,mean_makespan,median_makespan,best_count
diff_gnn_order,Diff-GNN+Order,4624.542829195993,5210.000842594816,13
diff_gnn,Diff-GNN,4921.815001368542,5423.627924489926,4
gl25,GL25,6653.438959160958,5978.473010490969,0
gcps,GCPS,6908.759228852953,8369.31565149153,0
