Config,old_makespan,new_makespan,gap_pct
config_mkspan_area_0.1_hw_0.5_seed_2,7833.283107473885,7833.283107473885,0.0
config_mkspan_area_0.3_hw_0.1_seed_0,9047.814617665212,9047.814617665212,0.0
config_mkspan_area_0.3_hw_0.3_seed_0,9047.814617665212,9047.814617665212,0.0
config_mkspan_area_0.3_hw_0.5_seed_0,9047.814617665212,9047.814617665212,0.0
config_mkspan_area_0.3_hw_0.7_seed_0,9003.025528329003,9003.025528329003,0.0
config_mkspan_area_0.5_hw_0.1_seed_0,9079.519227027824,9079.519227027824,0.0
config_mkspan_area_0.5_hw_0.1_seed_2,5584.753934091003,5584.753934091003,0.0
config_mkspan_area_0.5_hw_0.3_seed_0,9148.233636287454,9148.233636287454,0.0
config_mkspan_area_0.5_hw_0.5_seed_0,9148.233636287454,9148.233636287454,0.0
config_mkspan_area_0.5_hw_0.7_seed_1,8769.553212251987,8769.553212251987,0.0
config_mkspan_area_0.5_hw_0.9_seed_3,9214.558124102598,9214.558124102598,0.0
config_mkspan_area_0.7_hw_0.1_seed_0,9079.519227027824,9079.519227027824,0.0
config_mkspan_area_0.7_hw_0.1_seed_2,3649.9890345618946,3649.9890345618946,0.0
config_mkspan_area_0.7_hw_0.3_seed_2,4283.951376592516,4283.951376592516,0.0
config_mkspan_area_0.7_hw_0.7_seed_1,5333.971745856273,5333.971745856273,0.0
config_mkspan_area_0.7_hw_0.7_seed_2,5551.87606065376,5551.87606065376,0.0
config_mkspan_area_0.7_hw_0.9_seed_1,8769.553212251987,8769.553212251987,0.0
config_mkspan_area_0.7_hw_0.9_seed_2,8942.015456463534,8942.015456463534,0.0
config_mkspan_area_0.7_hw_0.9_seed_3,9214.558124102598,9214.558124102598,0.0
config_mkspan_area_0.9_hw_0.1_seed_0,9079.519227027824,9079.519227027824,0.0
config_mkspan_area_0.9_hw_0.7_seed_1,4267.880208988127,4267.880208988127,0.0
config_mkspan_area_0.9_hw_0.9_seed_1,8769.553212251987,8769.553212251987,0.0
config_mkspan_area_0.9_hw_0.9_seed_2,8942.015456463534,8942.015456463534,0.0
config_mkspan_area_0.9_hw_0.9_seed_3,9214.558124102598,9214.558124102598,0.0
