graph_name,family,nodes,area_constraint,method,mean_makespan,median_makespan,min_makespan,max_makespan,p10_makespan,p90_makespan,mean_dag_makespan,num_runs,num_invalid_runs,num_repaired_runs,num_timeout_runs,num_failed_runs,mean_over_dag,validity_note_summary
anomaly_detection_tosa,tflite-graphs,68,0.5,ccpso,3247.8423262144443,3247.8423262144443,3247.8423262144443,3247.8423262144443,3247.8423262144443,3247.8423262144443,2584.715082250584,1,0,0,0,0,1.256557192132162,Valid solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,clpso,2989.3554984317198,2989.3554984317198,2989.3554984317198,2989.3554984317198,2989.3554984317198,2989.3554984317198,2611.042995043729,1,0,0,0,0,1.1448894193263388,Valid solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,dbpso,2444.551798288661,2444.551798288661,2444.551798288661,2444.551798288661,2444.551798288661,2444.551798288661,2002.582332994296,1,0,0,0,0,1.2206997724950088,Valid solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,diff_gnn_order,1668.444026154854,1698.5298322503718,1253.4873677443045,2135.239217033976,1276.5512456032916,2017.938256886249,1555.1912794988532,10,0,0,0,0,1.0728223904988046,Valid solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,esa,3234.6240926440373,3234.6240926440373,3234.6240926440373,3234.6240926440373,3234.6240926440373,3234.6240926440373,2598.1512359893386,1,0,0,0,0,1.2449714427083145,Valid solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,gl25,2152.462500703865,2152.462500703865,2152.462500703865,2152.462500703865,2152.462500703865,2152.462500703865,1579.0040624369665,1,0,0,0,0,1.363177303915132,Valid solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,greedy,3335.917412823374,3406.6907061368247,2249.994982076263,4018.625503272376,2757.8184926684694,3845.9782866225737,2405.3047468279005,10,0,0,0,0,1.386900107864818,Valid solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,jade,2529.64801481554,2529.64801481554,2529.64801481554,2529.64801481554,2529.64801481554,2529.64801481554,2337.522771369339,1,0,0,0,0,1.0821918168239502,Valid solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,mip,2462.927857408888,2456.456023812695,1549.497835834978,3285.659506385589,1790.5345563255241,3257.1728804150725,1613.0519241817233,10,0,0,0,0,1.526874504463515,Valid incumbent solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,pso,3470.1103309482764,3470.1103309482764,3470.1103309482764,3470.1103309482764,3470.1103309482764,3470.1103309482764,2727.102387063117,1,0,0,0,0,1.2724532629980654,Valid solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,random,3162.8495526258985,3144.14710464877,2926.664054759105,3656.778996304875,2966.855876604402,3314.53142974445,2881.30420671681,10,0,0,0,0,1.097714550672143,Valid solution; no area repair needed.
anomaly_detection_tosa,tflite-graphs,68,0.5,shade,2618.400894858456,2618.400894858456,2618.400894858456,2618.400894858456,2618.400894858456,2618.400894858456,2257.340690607807,1,0,0,0,0,1.159949362430281,Valid solution; no area repair needed.
image_classification_tosa,tflite-graphs,125,0.5,diff_gnn_order,3281.0223533886383,3292.7834928556263,2766.517551357272,3873.1757721015138,2946.487465944322,3457.177762913128,2959.5498693906143,10,0,0,0,0,1.1086220872041654,Valid solution; no area repair needed.
image_classification_tosa,tflite-graphs,125,0.5,greedy,7558.284450793921,7442.691925586165,6459.858130108229,8632.785196938186,6613.127050087083,8527.14531756617,4747.274871640109,10,0,0,0,0,1.5921312026709444,Valid solution; no area repair needed.
image_classification_tosa,tflite-graphs,125,0.5,mip,5672.623852942134,5697.871321730441,4413.300315770684,6857.908211817059,5041.923035274186,6252.352118064413,2959.5498693906143,10,0,0,0,0,1.9167184549284704,Valid incumbent solution; no area repair needed.
image_classification_tosa,tflite-graphs,125,0.5,random,6293.947361492907,6158.729103590229,5832.833467395911,7237.72310588568,5932.985030405688,6713.308197262138,6293.947361492907,10,0,0,0,0,1.0,Valid solution; no area repair needed.
keyword_spotting_tosa,tflite-graphs,123,0.5,diff_gnn_order,3298.7574107509377,3252.248976136745,2727.6414746099226,3800.266275725744,3051.5533373062513,3670.6331721299534,2966.062213738802,10,0,0,0,0,1.112167302314527,Valid solution; no area repair needed.
keyword_spotting_tosa,tflite-graphs,123,0.5,greedy,7209.400282558798,7172.527961330346,6408.474346070463,8289.32467492854,6665.17970176745,7752.800343784202,4650.530967958221,10,0,0,0,0,1.5502316471454503,Valid solution; no area repair needed.
keyword_spotting_tosa,tflite-graphs,123,0.5,mip,5748.8234270558005,5860.941529580427,4608.064687555785,6401.114487307256,4986.364896726269,6395.358947493521,2966.062213738802,10,0,0,0,0,1.938200554400797,Valid incumbent solution; no area repair needed.
keyword_spotting_tosa,tflite-graphs,123,0.5,random,6205.823251196502,6096.322261099484,5748.769813391614,7130.084237263359,5859.494191119699,6564.416063609536,6205.823251196502,10,0,0,0,0,1.0,Valid solution; no area repair needed.
mobile_net_tosa,pytorch-graphs,830,0.5,diff_gnn_order,33261.56187668072,27535.130071631465,20845.134458455283,54465.38280843283,20947.515096405325,53575.0775014596,30170.103846011923,10,0,0,0,0,1.1024675966131101,Valid solution; no area repair needed.
mobile_net_tosa,pytorch-graphs,830,0.5,esa,41973.24452854071,41805.88991854353,41041.30673203316,43028.76503586628,41126.032303218315,42969.71638740004,41973.24452854071,10,0,0,0,0,1.0,Valid solution; no area repair needed.
mobile_net_tosa,pytorch-graphs,830,0.5,gcps,44500.368444996726,44664.597395539065,41572.93390096742,47814.51883849775,42079.38854672098,47086.44931714141,35220.90441644159,10,0,0,0,0,1.263464671969734,Valid solution; no area repair needed.
mobile_net_tosa,pytorch-graphs,830,0.5,gl25,34975.221638142175,35081.68866028868,33208.3278126419,37473.74970959015,33216.60325498228,36393.30087346182,29563.409462678093,10,0,0,0,0,1.1830577823676307,Valid solution; no area repair needed.
mobile_net_tosa,pytorch-graphs,830,0.5,greedy,53250.6274086631,53389.36941852198,48681.82279839933,58786.90161522156,49841.480874366,55617.06924041508,31608.248588052742,10,0,0,0,0,1.6847066758640568,Valid solution; no area repair needed.
mobile_net_tosa,pytorch-graphs,830,0.5,mip,,,,,,,41108.814258772145,0,10,0,10,0,,No incumbent solution artifact was written before Slurm wall-time timeout.
mobile_net_tosa,pytorch-graphs,830,0.5,pso,40551.99426797898,40265.21891436991,39167.492230217234,41977.472572032326,39600.73367395984,41790.0302156072,40501.76817306652,6,0,0,0,0,1.0012400963508024,Valid solution; no area repair needed.
mobile_net_tosa,pytorch-graphs,830,0.5,random,41973.24452854071,41805.88991854353,41041.30673203316,43028.76503586628,41126.032303218315,42969.71638740004,41973.24452854071,10,0,0,0,0,1.0,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,ccpso,29.0,29.0,29.0,29.0,29.0,29.0,29.0,1,0,0,0,0,1.0,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,clpso,29.0,29.0,29.0,29.0,29.0,29.0,29.0,1,0,0,0,0,1.0,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,dbpso,29.0,29.0,29.0,29.0,29.0,29.0,29.0,1,0,0,0,0,1.0,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,diff_gnn_order,29.0,29.0,29.0,29.0,29.0,29.0,31.0,10,0,0,0,0,0.9354838709677419,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,esa,30.0,30.0,30.0,30.0,30.0,30.0,31.0,1,0,0,0,0,0.967741935483871,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,gcps,29.0,29.0,29.0,29.0,29.0,29.0,29.0,1,0,0,0,0,1.0,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,gl25,29.0,29.0,29.0,29.0,29.0,29.0,29.0,1,0,0,0,0,1.0,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,greedy,32.0,32.0,32.0,32.0,32.0,32.0,32.0,10,0,0,0,0,1.0,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,jade,29.0,29.0,29.0,29.0,29.0,29.0,29.0,1,0,0,0,0,1.0,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,pso,29.0,29.0,29.0,29.0,29.0,29.0,29.0,1,0,0,0,0,1.0,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,random,30.4,30.0,29.0,32.0,29.0,32.0,30.7,10,0,0,0,0,0.990228013029316,Valid solution; no area repair needed.
paper_fig3_11node,custom,11,0.5,shade,29.0,29.0,29.0,29.0,29.0,29.0,29.0,1,0,0,0,0,1.0,Valid solution; no area repair needed.
rez_net_tosa,pytorch-graphs,362,0.5,diff_gnn_order,14296.661198419944,14549.265123873854,11388.111083828097,16196.803238213211,12749.22276446921,16152.838777657935,9527.034102295622,10,0,0,0,0,1.5006413375779812,Valid solution; no area repair needed.
