graph_name,family,nodes,area_constraint,method,mean_makespan,median_makespan,min_makespan,max_makespan,p10_makespan,p90_makespan,mean_dag_makespan,num_runs,num_invalid_runs,num_repaired_runs,num_timeout_runs,num_failed_runs,mean_over_dag,validity_note_summary
squeezenet_like_1000,synthetic,1000,0.5,ccpso,50473.41293261118,49998.0506527419,49459.45284963491,51743.63505411788,49585.815628914934,51602.407555961225,50473.41293261118,5,0,0,0,0,1.0,Valid solution; no area repair needed.
squeezenet_like_1000,synthetic,1000,0.5,clpso,50473.41293261118,49998.0506527419,49459.45284963491,51743.63505411788,49585.815628914934,51602.407555961225,50473.41293261118,5,0,0,0,0,1.0,Valid solution; no area repair needed.
squeezenet_like_1000,synthetic,1000,0.5,dbpso,50473.41293261118,49998.0506527419,49459.45284963491,51743.63505411788,49585.815628914934,51602.407555961225,50473.41293261118,5,0,0,0,0,1.0,Valid solution; no area repair needed.
squeezenet_like_1000,synthetic,1000,0.5,diff_gnn_order,40522.5035281865,40522.5035281865,37842.57701414486,43202.43004222813,38378.56231695319,42666.44473941981,16766.27816339383,2,0,0,0,0,2.4169051195070916,Valid solution; no area repair needed.
squeezenet_like_1000,synthetic,1000,0.5,esa,50326.14923386259,49775.35979783498,49459.45284963491,51743.63505411788,49522.63423927492,51349.9800028613,50326.149233862605,3,0,0,0,0,0.9999999999999997,Valid solution; no area repair needed.
squeezenet_like_1000,synthetic,1000,0.5,gcps,44356.353262392884,43816.78754003556,42367.34484280276,46448.58501909023,42801.766069009376,46147.41141214077,21542.370266820577,5,0,0,0,0,2.059028450119542,Valid solution; no area repair needed.
squeezenet_like_1000,synthetic,1000,0.5,gl25,45114.04436641574,45311.472717576784,43506.88289086775,46029.2186331908,44150.76781498965,45859.95213562282,25664.662534573185,5,0,0,0,0,1.757827296799327,Valid solution; no area repair needed.
squeezenet_like_1000,synthetic,1000,0.5,greedy,50473.41293261118,49998.0506527419,49459.45284963491,51743.63505411788,49585.815628914934,51602.407555961225,50473.41293261118,5,0,0,0,0,1.0,Valid solution; no area repair needed.
squeezenet_like_1000,synthetic,1000,0.5,jade,50473.41293261118,49998.0506527419,49459.45284963491,51743.63505411788,49585.815628914934,51602.407555961225,50473.41293261118,5,0,0,0,0,1.0,Valid solution; no area repair needed.
squeezenet_like_1000,synthetic,1000,0.5,pso,44051.200593814894,43667.66950226509,43137.92788146005,45463.45273759461,43174.10995994153,45181.49955059315,43224.81614766716,5,0,0,0,0,1.0191182871275748,Valid solution; no area repair needed.
squeezenet_like_1000,synthetic,1000,0.5,random,50473.41293261118,49998.0506527419,49459.45284963491,51743.63505411788,49585.815628914934,51602.407555961225,50473.41293261118,5,0,0,0,0,1.0,Valid solution; no area repair needed.
squeezenet_like_1000,synthetic,1000,0.5,shade,50473.41293261118,49998.0506527419,49459.45284963491,51743.63505411788,49585.815628914934,51602.407555961225,50473.41293261118,5,0,0,0,0,1.0,Valid solution; no area repair needed.
