graph_name,family,nodes,area_constraint,method,mean_makespan,median_makespan,min_makespan,max_makespan,p10_makespan,p90_makespan,mean_dag_makespan,num_runs,num_invalid_runs,num_repaired_runs,num_timeout_runs,num_failed_runs,mean_over_dag,validity_note_summary
mobile_net_tosa,pytorch-graphs,830,0.5,ccpso,41973.24452854071,41805.88991854353,41041.30673203316,43028.76503586628,41126.032303218315,42969.71638740004,41973.24452854071,10,0,0,0,0,1.0,Valid solution; no area repair needed.
mobile_net_tosa,pytorch-graphs,830,0.5,clpso,41973.24452854071,41805.88991854353,41041.30673203316,43028.76503586628,41126.032303218315,42969.71638740004,41973.24452854071,10,0,0,0,0,1.0,Valid solution; no area repair needed.
mobile_net_tosa,pytorch-graphs,830,0.5,dbpso,41973.24452854071,41805.88991854353,41041.30673203316,43028.76503586628,41126.032303218315,42969.71638740004,41973.24452854071,10,0,0,0,0,1.0,Valid solution; no area repair needed.
mobile_net_tosa,pytorch-graphs,830,0.5,esa,41973.24452854071,41805.88991854353,41041.30673203316,43028.76503586628,41126.032303218315,42969.71638740004,41973.24452854071,10,0,0,0,0,1.0,Valid solution; no area repair needed.
mobile_net_tosa,pytorch-graphs,830,0.5,gcps,44500.368444996726,44664.597395539065,41572.93390096742,47814.51883849775,42079.38854672098,47086.44931714141,35220.90441644159,10,0,0,0,0,1.263464671969734,Valid solution; no area repair needed.
mobile_net_tosa,pytorch-graphs,830,0.5,gl25,41973.24452854071,41805.88991854353,41041.30673203316,43028.76503586628,41126.032303218315,42969.71638740004,41973.24452854071,10,0,0,0,0,1.0,Valid solution; no area repair needed.
mobile_net_tosa,pytorch-graphs,830,0.5,greedy,53250.6274086631,53389.36941852198,48681.82279839933,58786.90161522156,49841.480874366,55617.06924041508,31608.248588052742,10,0,0,0,0,1.6847066758640568,Valid solution; no area repair needed.
mobile_net_tosa,pytorch-graphs,830,0.5,jade,41973.24452854071,41805.88991854353,41041.30673203316,43028.76503586628,41126.032303218315,42969.71638740004,41973.24452854071,10,0,0,0,0,1.0,Valid solution; no area repair needed.
mobile_net_tosa,pytorch-graphs,830,0.5,mip,,,,,,,41915.94250780216,0,4,0,4,0,,Time limit exceeded; no accepted exact MIP solution was recorded.
mobile_net_tosa,pytorch-graphs,830,0.5,pso,41973.24452854071,41805.88991854353,41041.30673203316,43028.76503586628,41126.032303218315,42969.71638740004,41973.24452854071,10,0,0,0,0,1.0,Valid solution; no area repair needed.
mobile_net_tosa,pytorch-graphs,830,0.5,random,41973.24452854071,41805.88991854353,41041.30673203316,43028.76503586628,41126.032303218315,42969.71638740004,41973.24452854071,10,0,0,0,0,1.0,Valid solution; no area repair needed.
mobile_net_tosa,pytorch-graphs,830,0.5,shade,41973.24452854071,41805.88991854353,41041.30673203316,43028.76503586628,41126.032303218315,42969.71638740004,41973.24452854071,10,0,0,0,0,1.0,Valid solution; no area repair needed.
